P187S6cM4_X	P187S6cM4_Y
0.16	0.02386
0.161	0.023899
0.162	0.02394
0.163	0.023975999999999997
0.16399999999999998	0.024013
0.16499999999999998	0.024048999999999997
0.16599999999999998	0.024088
0.16699999999999998	0.024124
0.16799999999999998	0.024163
0.16899999999999998	0.024197999999999997
0.16999999999999998	0.024235
0.17099999999999999	0.02427
0.172	0.024302999999999998
0.173	0.024339
0.174	0.024374
0.175	0.024408
0.176	0.024444999999999998
0.177	0.024478
0.178	0.024512
0.179	0.024547
0.18	0.024578
0.181	0.024610999999999997
0.182	0.024644
0.183	0.024679
0.184	0.02471
0.185	0.024745
0.186	0.024773999999999997
0.187	0.024804999999999997
0.188	0.024836999999999998
0.189	0.024867999999999998
0.19	0.0249
0.191	0.024931
0.192	0.02496
0.193	0.02499
0.19399999999999998	0.025022
0.19499999999999998	0.025054
0.19599999999999998	0.025081
0.19699999999999998	0.02511
0.19799999999999998	0.025141999999999998
0.19899999999999998	0.025169
0.19999999999999998	0.025196999999999997
0.20099999999999998	0.025228
0.20199999999999999	0.025255999999999997
0.20299999999999999	0.025282
0.204	0.025311
0.205	0.025339999999999998
0.206	0.025366999999999997
0.207	0.025394
0.208	0.025422999999999998
0.209	0.02545
0.21	0.025474
0.211	0.025502999999999998
0.212	0.025530999999999998
0.213	0.025559
0.214	0.025581
0.215	0.025609
0.216	0.025634999999999998
0.217	0.025661
0.218	0.025685
0.219	0.025712
0.22	0.025737
0.221	0.025761
0.222	0.025785
0.223	0.025810999999999997
0.22399999999999998	0.025838
0.22499999999999998	0.025859999999999998
0.22599999999999998	0.025887
0.22699999999999998	0.02591
0.22799999999999998	0.025934
0.22899999999999998	0.025956
0.22999999999999998	0.025981999999999998
0.23099999999999998	0.026005
0.23199999999999998	0.026028
0.23299999999999998	0.026055
0.23399999999999999	0.026074999999999997
0.235	0.026098
0.236	0.026122
0.237	0.026143
0.238	0.026168
0.239	0.026188
0.24	0.026209
0.241	0.026232
0.242	0.026254
0.243	0.026275
0.244	0.026296999999999997
0.245	0.026320999999999997
0.246	0.026343
0.247	0.026362999999999998
0.248	0.026386999999999997
0.249	0.026407
0.25	0.026427
0.251	0.026448
0.252	0.026466999999999997
0.253	0.026489
0.254	0.026511
0.255	0.026529
0.256	0.026550999999999998
0.257	0.02657
0.258	0.026591
0.259	0.026609999999999998
0.26	0.026631
0.261	0.02665
0.262	0.026671
0.263	0.026692999999999998
0.264	0.026709
0.265	0.026729
0.266	0.026747
0.267	0.026768
0.26799999999999996	0.026785
0.26899999999999996	0.026805
0.26999999999999996	0.026824999999999998
0.27099999999999996	0.026843
0.27199999999999996	0.026862999999999998
0.27299999999999996	0.026879
0.27399999999999997	0.026898
0.27499999999999997	0.026914
0.27599999999999997	0.026937
0.27699999999999997	0.026954
0.27799999999999997	0.026973999999999998
0.27899999999999997	0.026989
0.27999999999999997	0.027007
0.28099999999999997	0.027024
0.282	0.027042
0.283	0.027059
0.284	0.027077
0.285	0.027096
0.286	0.027111
0.287	0.027127
0.288	0.027143999999999998
0.289	0.027163
0.29	0.02718
0.291	0.027195999999999998
0.292	0.027212999999999998
0.293	0.027229
0.294	0.027247999999999998
0.295	0.027264
0.296	0.027281
0.297	0.027297
0.298	0.027313
0.299	0.027329
0.3	0.027344
0.301	0.027358999999999998
0.302	0.027377
0.303	0.027392999999999997
0.304	0.027408
0.305	0.027426
0.306	0.027441999999999998
0.307	0.027455
0.308	0.027471
0.309	0.027485
0.31	0.0275
0.311	0.027514999999999998
0.312	0.027533
0.313	0.027547
0.314	0.027562999999999997
0.315	0.027578
0.316	0.027590999999999997
0.317	0.027607
0.318	0.027621999999999997
0.319	0.027637
0.32	0.027652999999999997
0.321	0.027665
0.322	0.02768
0.323	0.027696
0.324	0.027708
0.325	0.027724
0.326	0.027736999999999998
0.327	0.027753
0.32799999999999996	0.027764999999999998
0.32899999999999996	0.027778999999999998
0.32999999999999996	0.027794
0.33099999999999996	0.027808
0.33199999999999996	0.027819999999999998
0.33299999999999996	0.027833
0.33399999999999996	0.02785
0.33499999999999996	0.027861
0.33599999999999997	0.027875
0.33699999999999997	0.027888999999999997
0.33799999999999997	0.027902999999999997
0.33899999999999997	0.027916999999999997
0.33999999999999997	0.027930999999999997
0.34099999999999997	0.027943
0.34199999999999997	0.027955999999999998
0.34299999999999997	0.027971
0.344	0.027981
0.345	0.027996999999999998
0.346	0.028007999999999998
0.347	0.02802
