P387S6dM4_X	P387S6dM4_Y
0.142	0.031077999999999998
0.143	0.031156999999999997
0.144	0.031232
0.145	0.03131
0.146	0.031387
0.147	0.031466
0.148	0.031539
0.149	0.031615
0.15	0.031689999999999996
0.151	0.031765
0.152	0.031838
0.153	0.031911
0.154	0.031986
0.155	0.032055
0.156	0.032126
0.157	0.032202
0.158	0.03227
0.159	0.032341
0.16	0.032408
0.161	0.032479
0.162	0.032546
0.163	0.032614
0.16399999999999998	0.032684
0.16499999999999998	0.032749
0.16599999999999998	0.032819
0.16699999999999998	0.032887
0.16799999999999998	0.032949
0.16899999999999998	0.033014
0.16999999999999998	0.033082
0.17099999999999999	0.033144
0.172	0.033209999999999996
0.173	0.033271999999999996
0.174	0.033339
0.175	0.0334
0.176	0.03346
0.177	0.033520999999999995
0.178	0.033583999999999996
0.179	0.033645999999999995
0.18	0.033708999999999996
0.181	0.03377
0.182	0.033828
0.183	0.033888
0.184	0.033947
0.185	0.034006
0.186	0.034066
0.187	0.034122
0.188	0.034182
0.189	0.034235999999999996
0.19	0.034296
0.191	0.034353
0.192	0.034408999999999995
0.193	0.034464999999999996
0.19399999999999998	0.034520999999999996
0.19499999999999998	0.034577
0.19599999999999998	0.034631999999999996
0.19699999999999998	0.034686999999999996
0.19799999999999998	0.034741999999999995
0.19899999999999998	0.034793
0.19999999999999998	0.034848
0.20099999999999998	0.034901999999999996
0.20199999999999999	0.034955
0.20299999999999999	0.035008
0.204	0.035060999999999995
0.205	0.035113
0.206	0.035164
0.207	0.035216
0.208	0.035268
0.209	0.035317999999999995
0.21	0.035372
0.211	0.035421
0.212	0.035472
0.213	0.035519999999999996
0.214	0.03557
0.215	0.03562
0.216	0.035668
0.217	0.035717
0.218	0.035764
0.219	0.035814
0.22	0.035861
0.221	0.035908999999999996
0.222	0.035956999999999996
0.223	0.036004999999999995
0.22399999999999998	0.03605
0.22499999999999998	0.036098
0.22599999999999998	0.036145
0.22699999999999998	0.036191
0.22799999999999998	0.036236
0.22899999999999998	0.036282
0.22999999999999998	0.036327
0.23099999999999998	0.036374
0.23199999999999998	0.036418
0.23299999999999998	0.036461
0.23399999999999999	0.036507
0.235	0.03655
0.236	0.036593
0.237	0.036636999999999996
0.238	0.036682
0.239	0.036726999999999996
0.24	0.036767999999999995
0.241	0.036810999999999997
0.242	0.036854
0.243	0.036895
0.244	0.036939
0.245	0.036981
0.246	0.037024
0.247	0.037065
0.248	0.037107
0.249	0.037147
0.25	0.037186
0.251	0.037226999999999996
0.252	0.037267
0.253	0.037308
0.254	0.037348
0.255	0.037387
0.256	0.037427999999999996
0.257	0.037467
0.258	0.037509
0.259	0.037545999999999996
0.26	0.037585
0.261	0.037624
0.262	0.037661
0.263	0.0377
0.264	0.037741
0.265	0.037778
0.266	0.037816999999999996
0.267	0.037853
0.26799999999999996	0.03789
0.26899999999999996	0.037927999999999996
0.26999999999999996	0.037965
0.27099999999999996	0.038002
0.27199999999999996	0.038037999999999995
0.27299999999999996	0.038074
0.27399999999999997	0.03811
0.27499999999999997	0.038146
0.27599999999999997	0.038183
0.27699999999999997	0.03822
0.27799999999999997	0.038252999999999995
0.27899999999999997	0.03829
0.27999999999999997	0.038325
0.28099999999999997	0.038359
0.282	0.038396
0.283	0.03843
0.284	0.038466
0.285	0.038501
0.286	0.038535
0.287	0.038569
0.288	0.038602
0.289	0.038637
0.29	0.038671
0.291	0.038706
0.292	0.038738999999999996
0.293	0.038772
0.294	0.038804
0.295	0.038835999999999996
0.296	0.038870999999999996
0.297	0.038904999999999995
0.298	0.038936
0.299	0.038967999999999996
0.3	0.039
0.301	0.039032
0.302	0.039064999999999996
0.303	0.039098
0.304	0.039129
0.305	0.03916
0.306	0.039191
0.307	0.039222
0.308	0.039255
0.309	0.039286
0.31	0.039316
0.311	0.039348
0.312	0.039379
0.313	0.039409
0.314	0.039438999999999995
0.315	0.03947
0.316	0.0395
0.317	0.039529999999999996
0.318	0.039559
0.319	0.039588
0.32	0.039619
0.321	0.039649
0.322	0.039677
0.323	0.039708
0.324	0.039736
0.325	0.039765999999999996
0.326	0.039793999999999996
0.327	0.039823
0.32799999999999996	0.039852
0.32899999999999996	0.03988
0.32999999999999996	0.039907
0.33099999999999996	0.039938
0.33199999999999996	0.039965
