P187S6eM4_X	P187S6eM4_Y
0.317	0.006202999999999999
0.318	0.006202999999999999
0.319	0.0062039999999999994
0.32	0.006207
0.321	0.006207
0.322	0.006208
0.323	0.006208
0.324	0.006208
0.325	0.006209
0.326	0.006209999999999999
0.327	0.0062109999999999995
0.32799999999999996	0.0062109999999999995
0.32899999999999996	0.0062109999999999995
0.32999999999999996	0.006213
0.33099999999999996	0.006213
0.33199999999999996	0.006214
0.33299999999999996	0.006215
0.33399999999999996	0.006215
0.33499999999999996	0.006215999999999999
0.33599999999999997	0.006215999999999999
0.33699999999999997	0.0062169999999999994
0.33799999999999997	0.0062169999999999994
0.33899999999999997	0.006218
0.33999999999999997	0.006219
0.34099999999999997	0.006219
0.34199999999999997	0.00622
0.34299999999999997	0.006221
0.344	0.006221
0.345	0.006222
0.346	0.006222999999999999
0.347	0.006222999999999999
0.348	0.0062239999999999995
0.349	0.006225
0.35	0.006226
0.351	0.006226
0.352	0.006226
0.353	0.006227
0.354	0.006228
0.355	0.006228999999999999
0.356	0.006228999999999999
0.357	0.006229999999999999
0.358	0.0062309999999999996
0.359	0.0062309999999999996
0.36	0.006232
0.361	0.006233
0.362	0.006233
0.363	0.006234
0.364	0.006234
0.365	0.006235
0.366	0.006235
0.367	0.006235
0.368	0.006235999999999999
0.369	0.0062369999999999995
0.37	0.006238
0.371	0.006238
0.372	0.006238
0.373	0.006239
0.374	0.006239
0.375	0.006241
0.376	0.006241
0.377	0.006241
0.378	0.006242999999999999
0.379	0.006242999999999999
0.38	0.006242999999999999
0.381	0.0062439999999999996
0.382	0.0062439999999999996
0.383	0.006245
0.384	0.006245
0.385	0.006245
0.386	0.006246
0.38699999999999996	0.006247
0.38799999999999996	0.006248
0.38899999999999996	0.006248
0.38999999999999996	0.006248
0.39099999999999996	0.006248999999999999
0.39199999999999996	0.006248999999999999
0.39299999999999996	0.0062499999999999995
0.39399999999999996	0.0062499999999999995
0.39499999999999996	0.0062499999999999995
0.39599999999999996	0.006251
0.39699999999999996	0.006252
0.39799999999999996	0.006253
0.39899999999999997	0.006253
0.39999999999999997	0.006253
0.40099999999999997	0.006254
0.40199999999999997	0.006255
0.40299999999999997	0.006255999999999999
0.40399999999999997	0.006255999999999999
0.40499999999999997	0.006255999999999999
0.40599999999999997	0.0062569999999999995
0.407	0.0062569999999999995
0.408	0.006259
0.409	0.006259
0.41	0.006259
0.411	0.00626
0.412	0.00626
0.413	0.006261
0.414	0.006261
0.415	0.006261
0.416	0.006261999999999999
0.417	0.006261999999999999
0.418	0.006261999999999999
0.419	0.0062629999999999995
0.42	0.0062629999999999995
0.421	0.006265
0.422	0.006265
0.423	0.006265
0.424	0.006266
0.425	0.006266
0.426	0.006267
0.427	0.006267
0.428	0.006267
0.429	0.006268
0.43	0.006268
0.431	0.006268999999999999
0.432	0.006268999999999999
0.433	0.006268999999999999
0.434	0.0062699999999999995
0.435	0.0062699999999999995
0.436	0.006272
0.437	0.006272
0.438	0.006272
0.439	0.006273
0.44	0.006273
0.441	0.006274
0.442	0.006274
0.443	0.006274
0.444	0.006274999999999999
0.445	0.006274999999999999
0.446	0.0062759999999999995
0.44699999999999995	0.0062759999999999995
0.44799999999999995	0.0062759999999999995
