P387aM3_X	P387aM3_Y
0.26999999999999996	0.051864
0.27099999999999996	0.051932
0.27199999999999996	0.051999
0.27299999999999996	0.052065999999999994
0.27399999999999997	0.052134
0.27499999999999997	0.052199999999999996
0.27599999999999997	0.052267999999999995
0.27699999999999997	0.052333
0.27799999999999997	0.052398999999999994
0.27899999999999997	0.052465
0.27999999999999997	0.052530999999999994
0.28099999999999997	0.052597
0.282	0.052661
0.283	0.052726999999999996
0.284	0.052791
0.285	0.052855
0.286	0.052919999999999995
0.287	0.052982999999999995
0.288	0.053047
0.289	0.053111
0.29	0.053174
0.291	0.053236
0.292	0.053299
0.293	0.053362
0.294	0.053424
0.295	0.053486
0.296	0.053548
0.297	0.053609
0.298	0.053670999999999996
0.299	0.053731999999999995
0.3	0.053792
0.301	0.053853
0.302	0.053914
0.303	0.053974999999999995
0.304	0.054034
0.305	0.054093999999999996
0.306	0.054154
0.307	0.054213
0.308	0.054272999999999995
0.309	0.054331
0.31	0.05439
0.311	0.054449
0.312	0.054507
0.313	0.054565999999999996
0.314	0.054624
0.315	0.054681
0.316	0.054738999999999996
0.317	0.054796
0.318	0.054853
0.319	0.05491
0.32	0.054966999999999995
0.321	0.055023999999999997
0.322	0.05508
0.323	0.055136
0.324	0.055193
0.325	0.055248
0.326	0.055304
0.327	0.055359
