P212cM3_X	P212cM3_Y
0.103	0.023245
0.104	0.023347
0.105	0.023447
0.106	0.023542999999999998
0.107	0.023644
0.108	0.023738
0.109	0.023833999999999998
0.11	0.023929
0.111	0.024026
0.11199999999999999	0.024121
0.11299999999999999	0.024211999999999997
0.11399999999999999	0.024307
0.11499999999999999	0.024399999999999998
0.11599999999999999	0.024489
0.11699999999999999	0.024582999999999997
0.118	0.024669
0.119	0.024759
0.12	0.02485
0.121	0.024940999999999998
0.122	0.025030999999999998
0.123	0.025115
0.124	0.025202
0.125	0.025287
0.126	0.025374999999999998
0.127	0.025457999999999998
0.128	0.025547
0.129	0.025627
0.13	0.025712
0.131	0.025795
0.132	0.025876
0.133	0.025958
0.13399999999999998	0.026045
0.13499999999999998	0.026122
0.13599999999999998	0.026202999999999997
0.13699999999999998	0.026284
0.13799999999999998	0.026365
0.13899999999999998	0.026442999999999998
0.13999999999999999	0.026525
0.141	0.026601999999999997
0.142	0.026678999999999998
0.143	0.026757999999999997
0.144	0.026833
0.145	0.026910999999999997
0.146	0.026986
0.147	0.027060999999999998
0.148	0.027136999999999998
0.149	0.027214
0.15	0.027291
0.151	0.027361
0.152	0.027436
0.153	0.027507
0.154	0.027580999999999998
0.155	0.027652
0.156	0.027725999999999997
0.157	0.027795999999999998
0.158	0.027868999999999998
0.159	0.027941999999999998
0.16	0.028013
0.161	0.028081
0.162	0.028151
0.163	0.028221999999999997
0.16399999999999998	0.02829
0.16499999999999998	0.028360999999999997
0.16599999999999998	0.028428
0.16699999999999998	0.028495999999999997
0.16799999999999998	0.028562999999999998
0.16899999999999998	0.02863
0.16999999999999998	0.028697999999999998
0.17099999999999999	0.028766
0.172	0.028832999999999998
0.173	0.028898
0.174	0.028964
0.175	0.02903
0.176	0.029095
0.177	0.029161
0.178	0.029226
0.179	0.029287999999999998
0.18	0.029353999999999998
0.181	0.029415999999999998
0.182	0.029484
0.183	0.029545
0.184	0.029605
0.185	0.029671
0.186	0.029731999999999998
0.187	0.029795
0.188	0.029855999999999997
0.189	0.029917
0.19	0.029977
0.191	0.030038
0.192	0.030101
0.193	0.03016
0.19399999999999998	0.030223
0.19499999999999998	0.030279999999999998
0.19599999999999998	0.030341999999999997
0.19699999999999998	0.030399
0.19799999999999998	0.030458
0.19899999999999998	0.030518999999999998
0.19999999999999998	0.030574999999999998
0.20099999999999998	0.030633999999999998
0.20199999999999999	0.030691999999999997
0.20299999999999999	0.03075
0.204	0.030808
0.205	0.030865
0.206	0.030921999999999998
0.207	0.030979999999999997
0.208	0.031037
0.209	0.031091999999999998
0.21	0.031149
0.211	0.031205999999999998
0.212	0.031258999999999995
0.213	0.031313
0.214	0.03137
0.215	0.031425999999999996
0.216	0.031481
0.217	0.031536
0.218	0.031591
0.219	0.031646
0.22	0.031699
0.221	0.031751
0.222	0.031805
0.223	0.031856999999999996
0.22399999999999998	0.031911999999999996
0.22499999999999998	0.031962
0.22599999999999998	0.032017
0.22699999999999998	0.03207
0.22799999999999998	0.032121
0.22899999999999998	0.032173
0.22999999999999998	0.032227
0.23099999999999998	0.032278
0.23199999999999998	0.032329
0.23299999999999998	0.03238
0.23399999999999999	0.032431999999999996
0.235	0.032482
0.236	0.032534
0.237	0.032584999999999996
0.238	0.032633999999999996
0.239	0.032685
0.24	0.032736
0.241	0.032785
0.242	0.032833
0.243	0.032884
0.244	0.032931
0.245	0.032980999999999996
0.246	0.03303
0.247	0.033079
0.248	0.033128
0.249	0.033174999999999996
0.25	0.033226
0.251	0.033271999999999996
0.252	0.033322
0.253	0.033367
0.254	0.033413
0.255	0.033463
0.256	0.033513
0.257	0.033557
0.258	0.033604
0.259	0.033652
0.26	0.033699
0.261	0.033743999999999996
0.262	0.033791
0.263	0.033837
0.264	0.033881999999999995
0.265	0.033927
0.266	0.033975
0.267	0.03402
0.26799999999999996	0.034065
0.26899999999999996	0.034109
0.26999999999999996	0.034152999999999996
0.27099999999999996	0.034199
0.27199999999999996	0.034242999999999996
0.27299999999999996	0.034286
0.27399999999999997	0.034332999999999995
0.27499999999999997	0.034379
0.27599999999999997	0.034422
0.27699999999999997	0.034467
0.27799999999999997	0.034509
0.27899999999999997	0.034553
0.27999999999999997	0.034598
0.28099999999999997	0.034642
0.282	0.034683
0.283	0.034726
0.284	0.034769
0.285	0.034811999999999996
0.286	0.034853999999999996
0.287	0.034898
0.288	0.034939
0.289	0.034981
0.29	0.035022
0.291	0.035066
0.292	0.035109
