D72_X	D72_Y
0.243	0.156021
0.244	0.156449
0.245	0.15687199999999998
0.246	0.157298
0.247	0.157723
0.248	0.15814499999999998
0.249	0.15856599999999998
0.25	0.158988
0.251	0.159408
0.252	0.159828
0.253	0.160245
0.254	0.160662
0.255	0.161078
0.256	0.161492
0.257	0.161904
0.258	0.162315
0.259	0.16272799999999998
0.26	0.163138
0.261	0.163547
0.262	0.163954
0.263	0.16436299999999998
0.264	0.164771
0.265	0.165175
0.266	0.165578
0.267	0.165983
0.26799999999999996	0.166384
0.26899999999999996	0.166787
0.26999999999999996	0.167188
0.27099999999999996	0.16758399999999998
0.27199999999999996	0.167984
0.27299999999999996	0.168381
0.27399999999999997	0.16877699999999998
0.27499999999999997	0.169172
0.27599999999999997	0.169566
0.27699999999999997	0.169959
