P212bM3_X	P212bM3_Y
0.422	0.065771
0.423	0.065834
0.424	0.065895
0.425	0.065956
0.426	0.066018
0.427	0.066079
0.428	0.06614099999999999
0.429	0.066202
0.43	0.066261
0.431	0.066324
0.432	0.066384
0.433	0.066443
0.434	0.066504
0.435	0.066564
0.436	0.066624
0.437	0.066684
0.438	0.066745
0.439	0.066805
0.44	0.06686399999999999
0.441	0.066923
0.442	0.066982
0.443	0.06704299999999999
0.444	0.067101
0.445	0.067159
0.446	0.067218
0.44699999999999995	0.06727799999999999
0.44799999999999995	0.067337
0.44899999999999995	0.067397
0.44999999999999996	0.067455
0.45099999999999996	0.067513
0.45199999999999996	0.06757099999999999
0.45299999999999996	0.06763
0.45399999999999996	0.067689
0.45499999999999996	0.067745
0.45599999999999996	0.06780499999999999
0.45699999999999996	0.06786
0.45799999999999996	0.06792
0.45899999999999996	0.067977
0.45999999999999996	0.068033
0.46099999999999997	0.068092
0.46199999999999997	0.068149
0.46299999999999997	0.068205
0.46399999999999997	0.06826299999999999
0.46499999999999997	0.06831999999999999
0.46599999999999997	0.068378
0.46699999999999997	0.068434
0.46799999999999997	0.06849
0.469	0.068547
0.47	0.068602
0.471	0.06866
0.472	0.068716
0.473	0.068772
0.474	0.068828
0.475	0.068883
0.476	0.06894
0.477	0.068996
0.478	0.069049
0.479	0.069106
0.48	0.069162
0.481	0.069216
0.482	0.069272
0.483	0.069327
0.484	0.069382
0.485	0.069437
0.486	0.069492
0.487	0.069545
0.488	0.069601
0.489	0.069656
0.49	0.069709
0.491	0.06976399999999999
0.492	0.06982
0.493	0.06987299999999999
0.494	0.06992799999999999
0.495	0.069982
0.496	0.070034
0.497	0.070089
0.498	0.070143
0.499	0.070196
0.5	0.07024999999999999
0.501	0.07030299999999999
0.502	0.070357
0.503	0.07041
0.504	0.070463
0.505	0.070515
0.506	0.07056899999999999
0.507	0.07062199999999999
0.508	0.070674
0.509	0.070726
0.51	0.07078
0.511	0.07083199999999999
0.512	0.070884
0.513	0.070937
0.514	0.070987
0.515	0.07104099999999999
0.516	0.07109499999999999
0.517	0.071146
0.518	0.071197
0.519	0.07124899999999999
0.52	0.071301
0.521	0.071352
0.522	0.071404
0.523	0.07145499999999999
0.524	0.071506
0.525	0.071558
0.526	0.07160899999999999
0.527	0.07166
0.528	0.071711
0.529	0.07176199999999999
0.53	0.071812
0.531	0.071864
0.532	0.07191399999999999
0.533	0.071964
0.534	0.072016
0.535	0.07206499999999999
0.5359999999999999	0.072116
0.5369999999999999	0.072166
0.5379999999999999	0.072216
0.5389999999999999	0.072265
0.5399999999999999	0.072318
0.5409999999999999	0.072366
0.5419999999999999	0.072417
0.5429999999999999	0.072467
0.5439999999999999	0.072516
0.5449999999999999	0.07256499999999999
0.5459999999999999	0.072615
0.5469999999999999	0.07266399999999999
0.5479999999999999	0.072715
0.5489999999999999	0.072764
0.5499999999999999	0.072813
0.5509999999999999	0.072862
0.5519999999999999	0.07291
0.5529999999999999	0.072959
0.5539999999999999	0.073008
0.5549999999999999	0.073058
0.5559999999999999	0.07310599999999999
0.5569999999999999	0.073155
0.5579999999999999	0.07320299999999999
0.5589999999999999	0.073252
0.5599999999999999	0.07330099999999999
0.5609999999999999	0.073349
0.5619999999999999	0.07339799999999999
0.563	0.073445
0.564	0.073493
0.565	0.073543
0.566	0.073589
0.567	0.073637
0.568	0.073686
0.569	0.07373199999999999
0.57	0.07378
0.571	0.07382799999999999
0.572	0.073875
0.573	0.07392399999999999
0.574	0.073971
0.575	0.074019
0.576	0.07406499999999999
0.577	0.074113
0.578	0.07415999999999999
0.579	0.074206
0.58	0.074254
0.581	0.07429899999999999
0.582	0.074348
0.583	0.074394
0.584	0.07443999999999999
0.585	0.074487
0.586	0.074534
0.587	0.07457899999999999
0.588	0.074626
0.589	0.074673
0.59	0.07471799999999999
0.591	0.074765
0.592	0.074811
0.593	0.07485699999999999
0.594	0.074904
0.595	0.07495
0.596	0.07499499999999999
0.597	0.075041
0.598	0.075087
0.599	0.075131
0.6	0.075177
0.601	0.075223
0.602	0.075269
0.603	0.07531399999999999
0.604	0.07536
0.605	0.075404
0.606	0.075449
0.607	0.075496
0.608	0.075539
0.609	0.075584
0.61	0.075629
0.611	0.07567299999999999
0.612	0.075718
0.613	0.075763
0.614	0.075808
0.615	0.07585299999999999
0.616	0.075898
0.617	0.075941
0.618	0.075985
0.619	0.07603
0.62	0.076074
0.621	0.07611799999999999
0.622	0.076162
0.623	0.076206
0.624	0.076251
0.625	0.076295
0.626	0.076338
0.627	0.07638199999999999
0.628	0.076426
0.629	0.076468
0.63	0.076513
0.631	0.076557
0.632	0.076599
0.633	0.076643
0.634	0.07668799999999999
0.635	0.07672999999999999
0.636	0.076773
0.637	0.076816
0.638	0.076859
0.639	0.076902
0.64	0.076946
0.641	0.076987
0.642	0.077031
0.643	0.07707399999999999
0.644	0.07711599999999999
0.645	0.07715899999999999
0.646	0.07720199999999999
0.647	0.07724299999999999
0.648	0.077286
0.649	0.077329
0.65	0.077372
0.651	0.077414
0.652	0.077457
0.653	0.077498
0.654	0.07754
0.6549999999999999	0.077583
0.6559999999999999	0.077624
0.6569999999999999	0.077667
0.6579999999999999	0.077709
0.6589999999999999	0.07775
0.6599999999999999	0.077792
0.6609999999999999	0.077834
0.6619999999999999	0.077875
0.6629999999999999	0.077917
0.6639999999999999	0.077959
0.6649999999999999	0.077999
0.6659999999999999	0.078042
0.6669999999999999	0.078083
0.6679999999999999	0.078123
0.6689999999999999	0.078165
0.6699999999999999	0.078207
0.6709999999999999	0.078247
0.6719999999999999	0.078288
0.6729999999999999	0.078329
0.6739999999999999	0.078371
0.6749999999999999	0.078412
0.6759999999999999	0.078453
0.6769999999999999	0.07849199999999999
0.6779999999999999	0.07853299999999999
0.6789999999999999	0.07857499999999999
0.6799999999999999	0.07861499999999999
0.6809999999999999	0.07865599999999999
0.6819999999999999	0.078696
0.6829999999999999	0.078736
0.6839999999999999	0.078778
0.6849999999999999	0.078818
0.6859999999999999	0.078858
0.6869999999999999	0.078898
0.688	0.078938
0.689	0.07897799999999999
0.69	0.07901799999999999
0.691	0.07905899999999999
0.692	0.079099
0.693	0.079139
0.694	0.079179
0.695	0.079219
0.696	0.079258
0.697	0.079298
0.698	0.07933799999999999
0.699	0.079377
0.7	0.079416
0.701	0.079457
0.702	0.079496
0.703	0.079536
0.704	0.07957499999999999
0.705	0.07961399999999999
0.706	0.079653
0.707	0.079693
0.708	0.079731
0.709	0.079771
0.71	0.07980999999999999
0.711	0.079848
0.712	0.079888
0.713	0.079927
0.714	0.079965
0.715	0.08000399999999999
0.716	0.080043
0.717	0.080081
0.718	0.08012
0.719	0.080159
0.72	0.08019699999999999
0.721	0.080236
0.722	0.080275
0.723	0.080312
0.724	0.08035099999999999
0.725	0.08039
0.726	0.080427
0.727	0.080466
0.728	0.08050399999999999
0.729	0.080542
0.73	0.08058
0.731	0.080618
0.732	0.08065599999999999
0.733	0.080694
0.734	0.080732
0.735	0.080769
0.736	0.08080699999999999
0.737	0.080845
