P212S6bM4_X	P212S6bM4_Y
0.238	0.034287
0.239	0.034336
0.24	0.034388999999999996
0.241	0.034436999999999995
0.242	0.034485
0.243	0.034536
0.244	0.034582
0.245	0.034637
0.246	0.034686999999999996
0.247	0.03474
0.248	0.034786
0.249	0.034838999999999995
0.25	0.034887999999999995
0.251	0.034936
0.252	0.034984
0.253	0.035038
0.254	0.035087
0.255	0.035130999999999996
0.256	0.035178
0.257	0.035225
0.258	0.035272
0.259	0.035322
0.26	0.035366999999999996
0.261	0.035417
0.262	0.035463999999999996
0.263	0.035512999999999996
0.264	0.035554999999999996
0.265	0.035604
0.266	0.035654
0.267	0.035698
0.26799999999999996	0.035743
0.26899999999999996	0.035788
0.26999999999999996	0.035836
0.27099999999999996	0.035883
0.27199999999999996	0.035926
0.27299999999999996	0.035972
