R21E1S1S2_X	R21E1S1S2_Y
0.267	0.133432
0.26799999999999996	0.133676
0.26899999999999996	0.13391999999999998
0.26999999999999996	0.134162
0.27099999999999996	0.134404
0.27199999999999996	0.13464399999999999
0.27299999999999996	0.134883
0.27399999999999997	0.135122
0.27499999999999997	0.13535999999999998
0.27599999999999997	0.135596
0.27699999999999997	0.13583199999999998
0.27799999999999997	0.136066
0.27899999999999997	0.136299
0.27999999999999997	0.136533
0.28099999999999997	0.136765
0.282	0.136995
0.283	0.13722499999999999
0.284	0.137454
0.285	0.137683
0.286	0.13791
0.287	0.13813599999999998
0.288	0.13836199999999999
0.289	0.138587
0.29	0.138809
