# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Wed May 12 07:51:45 AEST 2021 [seed=1620769904272]
# -overwrite 1.PREUCLN_ultra_epop_prior.xml
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	treeLength	constant.popSize	gtr.rates.rateAC	gtr.rates.rateAG	gtr.rates.rateAT	gtr.rates.rateCG	gtr.rates.rateCT	gtr.rates.rateGT	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
100000	-5887905.120383301	43.84249584100684	-5887948.962879142	1.982196629393486E-5	1.2362266134538342E-4	1.4666090294386471E-5	1.0686178293319823	1.1046618199600502	1.0259020503683498	0.9054167602338802	1.041275719954541	0.8541258201511958	0.06921280805727921	1.0	1.1748825283541073	0.5927296845727364	1.1475143827121561	-0.18637485993456324	-5887948.962879142	-339.82328848178815	393.8027496868334
110000	-5887902.817727461	46.12025998387168	-5887948.937987445	1.3105936189386075E-5	9.411360284212505E-5	1.2262812258491592E-5	1.0780598654570397	1.141883728493743	1.0321748977248242	0.9101566451294621	1.053737603053496	0.7839872601414339	0.05695151036831381	1.0	1.0759917631942264	0.7417490372274529	1.2218040124534462	-0.001883421400413583	-5887948.937987445	-339.82328848178815	395.7593186985129
120000	-5887903.650508514	35.4329841039405	-5887939.083492618	1.5134665102118762E-5	1.0157120569716443E-4	1.6036235717277644E-5	1.0658656126526902	1.1558487925999776	1.000990930612724	0.9413462953020048	1.081640597903754	0.7543077709288482	0.0193581512714185	1.0	2.0396710660996336	0.6619039434042314	1.7171210058629978	-0.068247799948257	-5887939.083492618	-339.82328848178815	387.8878943864465
130000	-5887886.792833627	43.94325647358676	-5887930.7360901	1.5207055864701295E-5	9.219932515712712E-5	1.559614046592572E-5	1.059289325386722	1.1740618979045578	0.9551494956965534	0.9546339726806201	1.110841039708062	0.7460242686234841	0.008230005670580787	1.0	1.5819129360846844	0.712307997853837	1.3441421187937819	-0.03653347628220538	-5887930.7360901	-339.82328848178815	395.0026360308367
140000	-5887880.379101923	48.428459926025425	-5887928.807561848	1.294305967603321E-5	7.908964904604322E-5	1.026190758664552E-5	1.0869048989249699	1.1273718633156422	0.9400311418381937	0.9912979462858977	1.1346340186100239	0.7197601310252714	0.017446212584608392	1.0	2.201413811325367	0.8564089695145151	1.5599129921362938	-0.053665141742797726	-5887928.807561848	-339.82328848178815	401.3647739894022
150000	-5887913.278072982	22.792727009053863	-5887936.0707999915	2.068609971110953E-5	1.2493984790309929E-4	1.715133867082875E-5	1.112746589018355	1.1132501494626479	0.9219764972541944	0.9812646403539386	1.1285525691023095	0.7422095548085536	0.015928901640128276	1.0	4.399419435206445	0.5768194431888098	2.155279530284561	-0.08988475910398992	-5887936.0707999915	-339.82328848178815	382.320024011128
160000	-5887889.745542285	48.16545694857405	-5887937.910999234	1.2928422656326642E-5	7.537225981125097E-5	1.948184115491516E-5	1.1084763328866802	1.090074009037654	0.9105333026630982	0.9906059756009615	1.1616376398842376	0.7386727399273686	0.09199687688598134	1.0	1.2599455811956397	0.8799870255443707	1.0287294144772647	-0.07645247382702697	-5887937.910999234	-339.82328848178815	398.4264685721577
170000	-5887890.087991269	44.26201308246584	-5887934.350004352	1.4581211161227653E-5	8.551291981012312E-5	1.86987249535899E-5	1.0958651020689611	1.1481894529079	0.8570004321206861	1.0069771278864017	1.1722497627913404	0.7197181222247105	0.03578440959826465	1.0	1.2895671388476375	0.7832097989231427	1.1649256451577399	0.031752466384281135	-5887934.350004352	-339.82328848178815	394.49946436611845
180000	-5887898.764562908	40.80473845204148	-5887939.569301359	1.5669282192821704E-5	9.876143786298572E-5	1.4535674018183538E-5	1.1050448305478673	1.1434558755659545	0.841254174326566	1.0067003229031646	1.1256268662202327	0.7779179304362149	0.08781817471200422	1.0	1.8512656759977681	0.7107431362007988	1.6660777491379424	-0.07373989069551318	-5887939.569301359	-339.82328848178815	392.83135246106684
190000	-5887877.125991602	49.88854338680051	-5887927.014534989	2.0397869798723008E-5	9.12888549411568E-5	1.539628179354693E-5	1.0694069137072677	1.1686194935853236	0.8094297156263893	1.0076600169125425	1.1305387514713758	0.8143451086970999	0.06366035179805615	1.0	1.018769501558265	0.7563385729895413	0.9614171510262101	-0.010963403355180605	-5887927.014534989	-339.82328848178815	399.36935331274026
