# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Wed May 12 07:46:11 AEST 2021 [seed=1620769569977]
# -overwrite 0.ANTUCLN_ultra_epop_prior.xml
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	treeLength	constant.popSize	gtr.rates.rateAC	gtr.rates.rateAG	gtr.rates.rateAT	gtr.rates.rateCG	gtr.rates.rateCT	gtr.rates.rateGT	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
100000	-5896775.535753545	-173.07155035573282	-5896602.46420319	7.613734162035864E-5	4.817190881592025E-4	5.304247402768744E-5	1.0181787778702067	1.2659259032803172	0.8538260035153278	0.6170412081258055	1.2187962298213608	1.0262318773869814	0.05732101223492936	1.0	2.4321336617145977	0.340078554820561	1.364216572169688	-0.005624687248075753	-5896602.46420319	-1084.89647874422	925.7098673986009
110000	-5896763.918395003	-172.6021022720406	-5896591.316292731	6.29733997677994E-5	4.420421508087439E-4	4.7501992336945754E-5	1.02550410537024	1.2588021373018279	0.8608808000814832	0.5545578484548654	1.2528947050037458	1.0473604037878372	0.04046295104609312	1.0	2.3048833644291817	0.3583854827470363	1.3769042655345929	-0.012731632646242367	-5896591.316292731	-1084.89647874422	925.763847914011
120000	-5896335.75149105	-127.89672491583462	-5896207.854766134	3.566785495412076E-5	2.773084263431452E-4	2.6060882774055293E-5	0.9844084018830592	1.2952018025671552	0.847135368016883	0.5294356989114974	1.2411739695195467	1.1026447591018582	0.06527419995155345	1.0	2.2156798726466684	0.5641047253152979	1.4064267971445836	-0.04570368033858815	-5896207.854766134	-1084.89647874422	970.2512351485693
130000	-5896269.251867111	-122.01287154628972	-5896147.238995564	3.637773531303886E-5	2.7231258449785136E-4	2.7505086547724487E-5	0.9809230942496721	1.309204075907188	0.8536099448488345	0.5162461969539519	1.2353445511397594	1.104672136900595	0.050574771787996325	1.0	2.8427681406726575	0.5624641801270105	1.830936491572167	-0.0013256479746317623	-5896147.238995564	-1084.89647874422	977.9869546102855
140000	-5895638.581069734	-117.22229623117425	-5895521.3587735025	3.969401188977169E-5	2.4872149427070865E-4	2.702428892116316E-5	0.9351472395132517	1.3409456106086748	0.8205555759633737	0.517795095584638	1.2520362167384023	1.1335202615916604	0.011669417648212487	1.0	1.6015157665774478	0.6071177556033593	1.4670813880482318	-0.056170645051604996	-5895521.3587735025	-1084.89647874422	978.975962046756
150000	-5895622.764476131	-109.29572794019248	-5895513.46874819	3.916009279859266E-5	2.383980969229347E-4	2.169126173330192E-5	0.9170444307521174	1.379936548338318	0.8757611532881254	0.46134093835413253	1.2623257610801313	1.1035911681871762	0.08227542783971047	1.0	1.5597939233797866	0.5971494634902212	1.0419877174620202	0.05750689587277485	-5895513.46874819	-1084.89647874422	986.9185762952251
160000	-5895611.621048704	-120.39123677578425	-5895491.229811928	6.75973885776193E-5	3.0648339613638495E-4	3.157510802638875E-5	0.937114716203173	1.413051472977308	0.8564893390784435	0.4382056795908294	1.2913921193061724	1.063746672844075	0.023916810401367852	1.0	2.0948415458356906	0.4397346342807958	1.2500527573613265	-0.05564473128125719	-5895491.229811928	-1084.89647874422	977.311494080509
170000	-5895606.543481057	-125.83434171443832	-5895480.709139342	4.1627416871623104E-5	2.7306869438288E-4	2.3337892969079472E-5	0.9336027211306176	1.3956649694983967	0.8236234975120115	0.42765363674041357	1.3220990936131738	1.097356081505388	0.1908780596722501	1.0	2.207877755279633	0.5313748191725135	1.5773545773050472	-0.07524949501158869	-5895480.709139342	-1084.89647874422	972.541419445007
180000	-5895593.76072246	-120.0845261340886	-5895473.6761963265	3.934689504429583E-5	2.7819211583622513E-4	2.3308082692600825E-5	0.9184132698685994	1.3760769693990722	0.8534813733555532	0.42178037927627143	1.3313019943097018	1.0989460137908027	0.4113162314840197	1.0	2.397740646394636	0.49874978886280286	1.2641919865647793	-0.0775944151097969	-5895473.6761963265	-1084.89647874422	979.3017000393442
190000	-5895572.287688603	-102.9263515846128	-5895469.361337018	2.8862492555055657E-5	2.1595836521771144E-4	2.069760712424321E-5	0.9229187137261663	1.3508557530074583	0.8374484469353711	0.39833946337402126	1.3742728641645807	1.116164758792403	0.02543553851282044	1.0	1.848423395822671	0.6393551846574241	1.1807645040424166	-0.06353499370364268	-5895469.361337018	-1084.89647874422	994.0401611901142
