# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sun May 30 14:19:54 AEST 2021 [seed=1622348392681]
# -overwrite -save_every 10000 -save_state 2.MEDUCLN_dates_noHyperPrior.xml.state 2.MEDUCLN_dates_noHyperPrior.xml
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	gtr.rates.rateAC	gtr.rates.rateAG	gtr.rates.rateAT	gtr.rates.rateCG	gtr.rates.rateCT	gtr.rates.rateGT	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
308900000	-5920875.62409901	-1978.3990023871481	-5918897.2250966225	324.928444181743	324.928444181743	2726.874157626037	178.6298656691682	0.8681553292857307	1.5197138817357936	0.8845057332530272	0.5197078940894173	1.4216835014747427	0.7862336601612606	0.05404282172144648	6.257734714154273E-7	7.28355268923545E-6	2.3589034434855107E-7	3.2499587577928355	0.09900671075047539	-5918897.2250966225	-1250.758241052335	-713.7192995456445
309000000	-5920886.823360772	-1988.5561267628104	-5918898.267234009	199.70057010770057	199.70057010770057	2409.1051208529216	163.55053136531933	0.8295643625247968	1.5018555285125474	0.88409344521885	0.5185527497635793	1.3592988588447064	0.9066350551354915	0.013380175242892775	6.13298997460147E-7	5.015121214800495E-6	2.725002195855119E-7	3.249912849471142	0.22626428492552747	-5918898.267234009	-1250.758241052335	-725.4140359858526
309100000	-5920891.829476348	-1987.756715708148	-5918904.07276064	451.02889405274	451.02889405274	3056.7993404311997	186.67611446522437	0.8238462086261847	1.435577833377997	0.8833454072567644	0.5105221459298512	1.4567079364734312	0.8900004683357444	0.009920759152717635	6.856628756934866E-7	7.605682794449685E-6	2.1006858985525607E-7	3.3791209035605188	0.13222006637316758	-5918904.07276064	-1250.758241052335	-722.3716490235565
309200000	-5920904.521348976	-1996.472298306631	-5918908.049050669	293.64643451933387	293.64643451933387	2805.2993793601545	168.41883034898035	0.7790646392535239	1.5137212816393462	0.8744903137079825	0.5143269048091165	1.4300355175987158	0.8883613429912889	0.03708825952105015	6.693163514749324E-7	6.690833620966019E-6	2.3506629273826663E-7	3.3976404190847274	0.15964450442802444	-5918908.049050669	-1250.758241052335	-732.8279816355923
309300000	-5920898.111971358	-1991.5662457459957	-5918906.545725612	220.27671552109507	220.27671552109507	2523.924203320502	165.09440348689088	0.8543712230924888	1.4671495162849129	0.9073757123567249	0.49100424844132773	1.3873479859537428	0.8927513138707751	0.009771541842145064	5.936528019558521E-7	3.7427352703847575E-6	2.588210965867899E-7	3.109038077197041	0.19354137120899026	-5918906.545725612	-1250.758241052335	-728.3165267541384
309400000	-5920892.758190257	-1979.8693873306581	-5918912.888802926	200.65158256432514	200.65158256432514	2360.995067736761	140.18183912903325	0.8347834564292377	1.4909345129425993	0.8998186693483168	0.5106121414042886	1.4124748875958186	0.8513763322797119	0.020442398117758862	6.258251037596646E-7	4.308613154575138E-6	2.923724696128441E-7	3.1536933614595752	0.19477112501377478	-5918912.888802926	-1250.758241052335	-719.029848104132
309500000	-5920871.702433769	-1968.2620659137692	-5918903.440367855	218.6088287226754	218.6088287226754	2372.2824839321343	136.1708658155227	0.8749154989841248	1.4522673802033068	0.8736106921552533	0.5447385261876274	1.3599006387426822	0.8945672637269774	0.026020509552054424	5.006258844688442E-7	3.0879240032838946E-6	2.723707166307322E-7	2.804115719034791	0.1539576118527145	-5918903.440367855	-1250.758241052335	-707.9267520300508
309600000	-5920892.32273337	-1989.247902143919	-5918903.074831226	241.03119663476616	241.03119663476616	2588.2027517473357	198.4247992091075	0.8670672380380017	1.4432051018544942	0.8027165923102193	0.5136252024780741	1.4816692625159795	0.8917166028032038	0.014638367187387166	4.931022638678131E-7	3.3951001291451004E-6	2.508965200187591E-7	3.029401127938307	0.2657665016842835	-5918903.074831226	-1250.758241052335	-722.7609964873009
309700000	-5920911.500121274	-2008.616075103541	-5918902.884046171	217.24296149713211	217.24296149713211	2775.8708078418667	188.97589799823635	0.810105096932425	1.4953222470196414	0.8878847068527834	0.48923824998855336	1.4047433388480326	0.9127063603585359	0.025364149100907486	3.5249353627984054E-7	2.16396470681039E-6	2.3077066978439575E-7	2.7069695269170695	0.3919624212671744	-5918902.884046171	-1250.758241052335	-743.2557520122222
309800000	-5920906.92446092	-1999.9190254679893	-5918907.005435452	221.33349905582497	221.33349905582497	2650.6403360580607	200.69061441759462	0.8427230054809501	1.475962899164145	0.8306077746061318	0.4922411718318415	1.474356673932774	0.8841084749841297	0.016966134402384328	4.2685438295944947E-7	3.009995603662518E-6	2.479146851968186E-7	2.886635335211943	0.244063051715593	-5918907.005435452	-1250.758241052335	-733.2850843142082
309900000	-5920891.788272411	-1990.6234015397072	-5918901.164870871	290.21795393241075	290.21795393241075	2627.0129870177834	164.78842441913406	0.8524789797618469	1.470888174583482	0.9023684672443796	0.48350933095359033	1.4205012969228163	0.8702537505338569	0.0420684681912649	4.3853700604402274E-7	3.106637566033397E-6	2.4701994137739494E-7	2.785305297474078	0.28074063074991895	-5918901.164870871	-1250.758241052335	-727.5114762924322
