Sample	total_passed	total_failed	secondary_passed	secondary_failed	supplementary_passed	supplementary_failed	duplicates_passed	duplicates_failed	mapped_passed	mapped_failed	mapped_passed_pct	mapped_failed_pct	paired in sequencing_passed	paired in sequencing_failed	read1_passed	read1_failed	read2_passed	read2_failed	properly paired_passed	properly paired_failed	properly paired_passed_pct	properly paired_failed_pct	with itself and mate mapped_passed	with itself and mate mapped_failed	singletons_passed	singletons_failed	singletons_passed_pct	singletons_failed_pct	with mate mapped to a different chr_passed	with mate mapped to a different chr_failed	with mate mapped to a different chr (mapQ >= 5)_passed	with mate mapped to a different chr (mapQ >= 5)_failed	flagstat_total
P187S6bM5-S113-L001_postfilterflagstat	3062	0	0	0	0	0	0	0	3062	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	3062
P187S6bM5-S113-L002_flagstat	864418	0	0	0	0	0	0	0	3362	0	0.39	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	864418
P187S6bM5-S113-L002_postfilterflagstat	3095	0	0	0	0	0	0	0	3095	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	3095
P187S6cM4-S71-L001_flagstat	2466572	0	0	0	0	0	0	0	1031312	0	41.81	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	2466572
P187S6cM4-S71-L001_postfilterflagstat	984588	0	0	0	0	0	0	0	984588	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	984588
P187S6cM4-S71-L002_flagstat	2483637	0	0	0	0	0	0	0	1039921	0	41.87	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	2483637
P187S6cM4-S71-L002_postfilterflagstat	992570	0	0	0	0	0	0	0	992570	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	992570
P187S6cM5-S114-L001_flagstat	269712	0	0	0	0	0	0	0	7113	0	2.64	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	269712
P187S6cM5-S114-L001_postfilterflagstat	6612	0	0	0	0	0	0	0	6612	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	6612
P187S6cM5-S114-L002_flagstat	276358	0	0	0	0	0	0	0	7091	0	2.57	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	276358
P187S6cM5-S114-L002_postfilterflagstat	6676	0	0	0	0	0	0	0	6676	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	6676
P187S6dM4-S72-L001_flagstat	1927057	0	0	0	0	0	0	0	818032	0	42.45	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	1927057
P187S6dM4-S72-L001_postfilterflagstat	785063	0	0	0	0	0	0	0	785063	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	785063
P187S6dM4-S72-L002_flagstat	1937246	0	0	0	0	0	0	0	825110	0	42.59	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	1937246
P187S6dM4-S72-L002_postfilterflagstat	792118	0	0	0	0	0	0	0	792118	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	792118
P187S6eM4-S73-L001_flagstat	1284489	0	0	0	0	0	0	0	523138	0	40.73	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	1284489
P187S6eM4-S73-L001_postfilterflagstat	501654	0	0	0	0	0	0	0	501654	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	501654
P187S6eM4-S73-L002_flagstat	1291056	0	0	0	0	0	0	0	528428	0	40.93	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	1291056
P187S6eM4-S73-L002_postfilterflagstat	506705	0	0	0	0	0	0	0	506705	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	506705
P187bM3-L001_flagstat	1310185	0	0	0	0	0	0	0	565010	0	43.12	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	1310185
P187bM3-L001_postfilterflagstat	541033	0	0	0	0	0	0	0	541033	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	541033
P187bM3-S498-L001_flagstat	1256936	0	0	0	0	0	0	0	551282	0	43.86	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	1256936
P187bM3-S498-L001_postfilterflagstat	528901	0	0	0	0	0	0	0	528901	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	528901
P187bM3-S498-L002_flagstat	1253939	0	0	0	0	0	0	0	550204	0	43.88	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	1253939
P187bM3-S498-L002_postfilterflagstat	528031	0	0	0	0	0	0	0	528031	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	528031
P187cM3-L001_flagstat	889736	0	0	0	0	0	0	0	340232	0	38.24	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	889736
