Sample	Retained Read Pairs	Singleton R1	Singleton R2	Full-length Collapsed Pairs	Truncated Collapsed Pairs	Discarded R1	Discarded R2
P387S6aM4-S101-L002_1	2579282.0	0.0	0.0	2487920.0	0.0	244341.0	244341.0
P387S6aM5-S136-L001_1	250618.0	50.0	0.0	240324.0	0.0	122696.0	122746.0
P387S6aM5-S136-L002_1	258031.0	36.0	0.0	248137.0	0.0	126593.0	126629.0
P387S6bM4-S102-L001_1	2124502.0	0.0	0.0	2044266.0	0.0	201805.0	201805.0
P387S6bM4-S102-L002_1	2132969.0	0.0	0.0	2053233.0	0.0	202767.0	202767.0
P387S6bM5-S137-L001_1	592782.0	136.0	0.0	569250.0	0.0	372240.0	372376.0
P387S6bM5-S137-L002_1	608642.0	128.0	0.0	585608.0	0.0	384174.0	384302.0
P387S6cM4-S103-L001_1	1675903.0	0.0	0.0	1613999.0	0.0	113507.0	113507.0
P387S6cM4-S103-L002_1	1685367.0	0.0	0.0	1624051.0	0.0	113736.0	113736.0
P387S6cM5-S138-L001_1	394203.0	43.0	0.0	379345.0	0.0	187064.0	187107.0
P387S6cM5-S138-L002_1	404106.0	44.0	0.0	389548.0	0.0	193319.0	193363.0
P387S6dM4-S104-L001_1	2285172.0	0.0	0.0	2205986.0	0.0	263744.0	263744.0
P387S6dM4-S104-L002_1	2293609.0	0.0	0.0	2215769.0	0.0	265216.0	265216.0
P387S6eM4-S105-L001_1	2182186.0	0.0	0.0	2115280.0	0.0	208409.0	208409.0
P387S6eM4-S105-L002_1	2198364.0	0.0	0.0	2132048.0	0.0	209487.0	209487.0
P387aM3-S509-L001_1	997564.0	0.0	0.0	931070.0	0.0	22348.0	22348.0
P387aM3-S509-L002_1	997282.0	0.0	0.0	931458.0	0.0	22606.0	22606.0
P387bM3-S510-L001_1	1063276.0	1.0	0.0	944730.0	0.0	8599.0	8600.0
P387bM3-S510-L002_1	1061782.0	0.0	0.0	944194.0	0.0	8610.0	8610.0
P387cM3-S511-L001_1	1272695.0	0.0	0.0	1149237.0	0.0	22974.0	22974.0
P387cM3-S511-L002_1	1270718.0	0.0	0.0	1148140.0	0.0	22961.0	22961.0
R21E1S1S2-S58-L001_1	12379714.0	0.0	0.0	12034336.0	0.0	1713043.0	1713043.0
R21E1S1S2-S58-L002_1	12250685.0	1.0	0.0	11912429.0	0.0	1710999.0	1711000.0
R36E1S1S2-S59-L001_1	13425660.0	0.0	0.0	13108668.0	0.0	1686492.0	1686492.0
R36E1S1S2-S59-L002_1	13321308.0	0.0	0.0	13011766.0	0.0	1687694.0	1687694.0
R44E1S1S2-S62-L001_1	8444921.0	0.0	0.0	7692019.0	0.0	839510.0	839510.0
R44E1S1S2-S62-L002_1	8380169.0	0.0	0.0	7636945.0	0.0	840895.0	840895.0
