Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
P387S6aM5-S136-L002_2	P387S6aM5-S136-L002_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	379713.0	0.0	91.0	57.0	94.33154439891521	91.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	fail
P387S6bM4-S102-L001_1	P387S6bM4-S102-L001_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2286189.0	0.0	91.0	48.0	34.423154253923435	91.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	pass	fail
P387S6bM4-S102-L001_2	P387S6bM4-S102-L001_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2286189.0	0.0	91.0	49.0	34.988014442642076	91.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	warn	fail
P387S6bM4-S102-L002_1	P387S6bM4-S102-L002_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2295868.0	0.0	91.0	48.0	34.06292632700939	91.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	pass	fail
P387S6bM4-S102-L002_2	P387S6bM4-S102-L002_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2295868.0	0.0	91.0	49.0	34.72457193364424	91.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	warn	fail
P387S6bM5-S137-L001_1	P387S6bM5-S137-L001_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	953392.0	0.0	91.0	55.0	92.55724428853557	91.0	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass	fail
P387S6bM5-S137-L001_2	P387S6bM5-S137-L001_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	953392.0	0.0	91.0	58.0	92.63804842665627	91.0	pass	pass	warn	pass	fail	warn	pass	pass	pass	pass	fail
P387S6bM5-S137-L002_1	P387S6bM5-S137-L002_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	981427.0	0.0	91.0	55.0	92.35250349168888	91.0	pass	pass	warn	pass	warn	pass	pass	pass	pass	pass	fail
P387S6bM5-S137-L002_2	P387S6bM5-S137-L002_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	981427.0	0.0	91.0	58.0	92.41388133854451	91.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	fail
P387S6cM4-S103-L001_1	P387S6cM4-S103-L001_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1758458.0	0.0	91.0	48.0	26.450076294825287	91.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	fail
P387S6cM4-S103-L001_2	P387S6cM4-S103-L001_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1758458.0	0.0	91.0	47.0	27.281695479055745	91.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	fail
P387S6cM4-S103-L002_1	P387S6cM4-S103-L002_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1768445.0	0.0	91.0	48.0	26.226370582384064	91.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	fail
P387S6cM4-S103-L002_2	P387S6cM4-S103-L002_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1768445.0	0.0	91.0	47.0	27.215017114722972	91.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	fail
P387S6cM5-S138-L001_1	P387S6cM5-S138-L001_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	573881.0	0.0	91.0	57.0	90.82871288339436	91.0	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass	fail
P387S6cM5-S138-L001_2	P387S6cM5-S138-L001_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	573881.0	0.0	91.0	56.0	90.98483587051761	91.0	pass	pass	warn	pass	fail	warn	pass	pass	pass	pass	fail
P387S6cM5-S138-L002_1	P387S6cM5-S138-L002_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	590190.0	0.0	91.0	57.0	90.6551588903039	91.0	pass	pass	warn	pass	warn	pass	pass	pass	pass	pass	fail
P387S6cM5-S138-L002_2	P387S6cM5-S138-L002_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	590190.0	0.0	91.0	56.0	90.72417170275237	91.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	fail
P387S6dM4-S104-L001_1	P387S6dM4-S104-L001_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2509323.0	0.0	91.0	48.0	31.747469520915388	91.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	warn	fail
P387S6dM4-S104-L001_2	P387S6dM4-S104-L001_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2509323.0	0.0	91.0	49.0	32.687518128675926	91.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	fail
P387S6dM4-S104-L002_1	P387S6dM4-S104-L002_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2519905.0	0.0	91.0	48.0	31.47656769981497	91.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	warn	fail
P387S6dM4-S104-L002_2	P387S6dM4-S104-L002_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2519905.0	0.0	91.0	49.0	32.461933261562784	91.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	fail
P387S6eM4-S105-L001_1	P387S6eM4-S105-L001_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2357142.0	0.0	91.0	47.0	27.806992168298418	91.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	warn	fail
P387S6eM4-S105-L001_2	P387S6eM4-S105-L001_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2357142.0	0.0	91.0	48.0	28.539373867945972	91.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	warn	fail
P387S6eM4-S105-L002_1	P387S6eM4-S105-L002_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2374693.0	0.0	91.0	47.0	27.510764637590114	91.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	warn	fail
P387S6eM4-S105-L002_2	P387S6eM4-S105-L002_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2374693.0	0.0	91.0	48.0	28.227198952227457	91.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	warn	fail
P387aM3-S509-L001_1	P387aM3-S509-L001_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	986665.0	0.0	91.0	46.0	37.18434178704555	91.0	pass	pass	pass	pass	pass	warn	pass	pass	fail	pass	fail
P387aM3-S509-L001_2	P387aM3-S509-L001_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	986665.0	0.0	91.0	46.0	37.175619238426535	91.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	fail
P387aM3-S509-L002_1	P387aM3-S509-L002_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	986976.0	0.0	91.0	46.0	36.628966600737606	91.0	pass	pass	pass	pass	pass	warn	pass	pass	fail	pass	fail
P387aM3-S509-L002_2	P387aM3-S509-L002_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	986976.0	0.0	91.0	46.0	37.00097266230679	91.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	fail
P387bM3-S510-L001_1	P387bM3-S510-L001_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1012603.0	0.0	91.0	44.0	31.14500491775755	91.0	pass	pass	pass	pass	pass	warn	pass	pass	fail	pass	fail
P387bM3-S510-L001_2	P387bM3-S510-L001_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1012603.0	0.0	91.0	44.0	31.32527757785149	91.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	fail
P387bM3-S510-L002_1	P387bM3-S510-L002_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1011598.0	0.0	91.0	44.0	30.53720389631513	91.0	pass	pass	pass	pass	pass	warn	pass	pass	fail	pass	fail
P387bM3-S510-L002_2	P387bM3-S510-L002_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1011598.0	0.0	91.0	44.0	31.108814364004278	91.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	fail
P387cM3-S511-L001_1	P387cM3-S511-L001_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1233940.0	0.0	91.0	46.0	37.26653654478124	91.0	pass	pass	pass	pass	pass	warn	pass	pass	fail	pass	fail
P387cM3-S511-L001_2	P387cM3-S511-L001_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1233940.0	0.0	91.0	46.0	37.39674222757326	91.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	fail
P387cM3-S511-L002_1	P387cM3-S511-L002_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1232390.0	0.0	91.0	46.0	36.68824245643107	91.0	pass	pass	pass	pass	pass	warn	pass	pass	fail	pass	fail
P387cM3-S511-L002_2	P387cM3-S511-L002_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1232390.0	0.0	91.0	46.0	37.17369144968434	91.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	fail
R21E1S1S2-S58-L001_1	R21E1S1S2-S58-L001_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13920068.0	0.0	91.0	59.0	67.66869242867983	91.0	pass	pass	warn	pass	warn	warn	pass	pass	warn	pass	fail
R21E1S1S2-S58-L001_2	R21E1S1S2-S58-L001_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13920068.0	0.0	91.0	58.0	67.74034173420463	91.0	pass	pass	pass	pass	fail	warn	pass	pass	warn	pass	fail
R21E1S1S2-S58-L002_1	R21E1S1S2-S58-L002_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13792557.0	0.0	91.0	59.0	67.66716536827974	91.0	pass	pass	pass	pass	warn	warn	pass	pass	warn	pass	fail
R21E1S1S2-S58-L002_2	R21E1S1S2-S58-L002_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13792557.0	0.0	91.0	58.0	68.01525302968489	91.0	pass	pass	warn	pass	fail	warn	pass	pass	warn	pass	fail
R36E1S1S2-S59-L001_1	R36E1S1S2-S59-L001_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14953656.0	0.0	91.0	52.0	67.19044914941009	91.0	pass	pass	warn	pass	warn	warn	pass	pass	warn	pass	fail
R36E1S1S2-S59-L001_2	R36E1S1S2-S59-L001_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14953656.0	0.0	91.0	51.0	67.09197159693902	91.0	pass	pass	pass	pass	warn	warn	pass	pass	warn	pass	fail
R36E1S1S2-S59-L002_1	R36E1S1S2-S59-L002_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14854231.0	0.0	91.0	52.0	67.25022878068131	91.0	pass	pass	pass	pass	warn	warn	pass	pass	warn	pass	fail
R36E1S1S2-S59-L002_2	R36E1S1S2-S59-L002_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14854231.0	0.0	91.0	51.0	67.30741844031385	91.0	pass	pass	warn	pass	warn	fail	pass	pass	warn	pass	fail
R44E1S1S2-S62-L001_1	R44E1S1S2-S62-L001_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8907980.0	0.0	91.0	55.0	50.964771318530985	91.0	pass	pass	pass	pass	pass	pass	pass	pass	warn	pass	fail
R44E1S1S2-S62-L001_2	R44E1S1S2-S62-L001_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8907980.0	0.0	91.0	56.0	50.815107766835546	91.0	pass	pass	pass	pass	fail	warn	pass	pass	warn	pass	fail
R44E1S1S2-S62-L002_1	R44E1S1S2-S62-L002_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8849452.0	0.0	91.0	55.0	51.376829907570546	91.0	pass	pass	pass	pass	pass	pass	pass	pass	warn	pass	fail
R44E1S1S2-S62-L002_2	R44E1S1S2-S62-L002_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8849452.0	0.0	91.0	56.0	51.44608288174102	91.0	pass	pass	warn	pass	fail	warn	pass	pass	warn	pass	fail
