Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
P212M2-S271-L002_1	P212M2-S271-L002_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1848856.0	0.0	86.0	40.0	14.468577853060138	86.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	fail
P212M2-S271-L002_2	P212M2-S271-L002_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1848856.0	0.0	91.0	40.0	15.306475121973731	91.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	fail
P212S6aM4-S76-L001_1	P212S6aM4-S76-L001_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1587219.0	0.0	91.0	43.0	19.42098334774569	91.0	pass	pass	pass	pass	warn	pass	pass	pass	fail	warn	fail
P212S6aM4-S76-L001_2	P212S6aM4-S76-L001_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1587219.0	0.0	91.0	44.0	20.590749818941408	91.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	fail
P212S6aM4-S76-L002_1	P212S6aM4-S76-L002_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1592702.0	0.0	91.0	43.0	18.98657974504924	91.0	pass	pass	pass	pass	warn	pass	pass	pass	fail	warn	fail
P212S6aM4-S76-L002_2	P212S6aM4-S76-L002_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1592702.0	0.0	91.0	44.0	20.283679023873837	91.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	fail
P212S6aM5-S115-L001_1	P212S6aM5-S115-L001_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	588398.0	0.0	91.0	54.0	81.74843177858972	91.0	pass	pass	pass	pass	fail	pass	pass	pass	pass	pass	fail
P212S6aM5-S115-L001_2	P212S6aM5-S115-L001_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	588398.0	0.0	91.0	57.0	81.6690645537199	91.0	pass	pass	warn	pass	fail	fail	pass	pass	pass	pass	fail
P212S6aM5-S115-L002_1	P212S6aM5-S115-L002_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	604476.0	0.0	91.0	54.0	81.48018687332153	91.0	pass	pass	warn	pass	fail	pass	pass	pass	pass	pass	fail
P212S6aM5-S115-L002_2	P212S6aM5-S115-L002_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	604476.0	0.0	91.0	57.0	81.34560162810376	91.0	pass	pass	pass	pass	fail	fail	pass	pass	pass	pass	fail
P212S6bM4-S77-L001_1	P212S6bM4-S77-L001_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2976806.0	0.0	91.0	42.0	16.931439478001074	91.0	pass	pass	pass	pass	warn	pass	pass	pass	fail	warn	fail
P212S6bM4-S77-L001_2	P212S6bM4-S77-L001_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2976806.0	0.0	91.0	43.0	17.607742385083895	91.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	fail
P212S6bM4-S77-L002_1	P212S6bM4-S77-L002_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2990654.0	0.0	91.0	42.0	16.72421331926501	91.0	pass	pass	pass	pass	warn	pass	pass	pass	fail	warn	fail
P212S6bM4-S77-L002_2	P212S6bM4-S77-L002_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2990654.0	0.0	91.0	43.0	17.50314172820791	91.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	fail
P212S6bM5-S116-L001_1	P212S6bM5-S116-L001_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	514328.0	0.0	91.0	53.0	78.6095721705677	91.0	pass	pass	pass	pass	warn	warn	pass	pass	pass	pass	fail
P212S6bM5-S116-L001_2	P212S6bM5-S116-L001_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	514328.0	0.0	91.0	55.0	78.73224751791041	91.0	pass	pass	warn	pass	fail	fail	pass	pass	pass	pass	fail
P212S6bM5-S116-L002_1	P212S6bM5-S116-L002_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	528306.0	0.0	91.0	53.0	78.24575733587761	91.0	pass	pass	warn	pass	warn	warn	pass	pass	pass	pass	fail
P212S6bM5-S116-L002_2	P212S6bM5-S116-L002_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	528306.0	0.0	91.0	55.0	78.15829242347684	91.0	pass	pass	pass	pass	fail	fail	pass	pass	pass	pass	fail
P212S6cM4-S78-L001_1	P212S6cM4-S78-L001_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2946838.0	0.0	91.0	43.0	17.068798665384072	91.0	pass	pass	pass	pass	warn	pass	pass	pass	fail	warn	fail
P212S6cM4-S78-L001_2	P212S6cM4-S78-L001_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2946838.0	0.0	91.0	44.0	18.824200447321953	91.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	fail
