Perfect_X	Perfect_Y	D62_X	D62_Y	D72_X	D72_Y	P187_X	P187_Y	P212_X	P212_Y	P387_X	P387_Y
		0.083	0.06295	0.083	0.069003	0.083	0.017956	0.083	0.017791	0.083	0.023549
		0.084	0.063531	0.084	0.0697	0.084	0.018031	0.084	0.017877	0.084	0.023672
		0.085	0.064119	0.085	0.070394	0.085	0.018106	0.085	0.01797	0.085	0.023795
		0.086	0.064703	0.086	0.071086	0.086	0.018176	0.086	0.018056	0.086	0.023914
		0.087	0.065284	0.087	0.071775	0.087	0.018242	0.087	0.018143	0.087	0.024035
		0.088	0.065859	0.088	0.072461	0.088	0.018311	0.088	0.018227	0.088	0.024153
		0.089	0.066435	0.089	0.073145	0.089	0.018379	0.089	0.018311	0.089	0.024269
		0.09	0.067004	0.09	0.073828	0.09	0.018447	0.09	0.018399	0.09	0.024387
		0.091	0.067571	0.091	0.074506	0.091	0.018512	0.091	0.018485	0.091	0.024506
		0.092	0.068137	0.092	0.075181	0.092	0.018579	0.092	0.018567	0.092	0.024618
		0.093	0.068701	0.093	0.075854	0.093	0.018644	0.093	0.018648	0.093	0.024727
		0.094	0.069258	0.094	0.076525	0.094	0.018709	0.094	0.01873	0.094	0.02484
		0.095	0.06982	0.095	0.077194	0.095	0.01877	0.095	0.018806	0.095	0.024951
		0.096	0.070377	0.096	0.077859	0.096	0.018831	0.096	0.018885	0.096	0.025058
		0.097	0.070922	0.097	0.078525	0.097	0.018892	0.097	0.018967	0.097	0.025171
		0.098	0.071473	0.098	0.079187	0.098	0.018952	0.098	0.019043	0.098	0.025277
		0.099	0.072021	0.099	0.079844	0.099	0.019012	0.099	0.019125	0.099	0.025382
		0.1	0.07257	0.1	0.080502	0.1	0.019072	0.1	0.0192	0.1	0.025487
		0.101	0.073111	0.101	0.081159	0.101	0.01913	0.101	0.019277	0.101	0.02559
		0.102	0.073653	0.102	0.081809	0.102	0.019188	0.102	0.019352	0.102	0.025694
		0.103	0.074188	0.103	0.08246	0.103	0.019244	0.103	0.019427	0.103	0.025795
		0.104	0.074721	0.104	0.083107	0.104	0.0193	0.104	0.019499	0.104	0.025896
		0.105	0.075254	0.105	0.083756	0.105	0.019354	0.105	0.019571	0.105	0.025996
		0.106	0.075787	0.106	0.0844	0.106	0.019408	0.106	0.019641	0.106	0.026097
		0.107	0.076313	0.107	0.085041	0.107	0.019462	0.107	0.019716	0.107	0.026196
		0.108	0.076838	0.108	0.085679	0.108	0.019518	0.108	0.019795	0.108	0.026292
		0.109	0.07736	0.109	0.086314	0.109	0.019571	0.109	0.019862	0.109	0.026389
		0.11	0.077881	0.11	0.086951	0.11	0.019625	0.11	0.019936	0.11	0.026484
		0.111	0.078401	0.111	0.087585	0.111	0.019677	0.111	0.02	0.111	0.026578
		0.112	0.078921	0.112	0.088216	0.112	0.019728	0.112	0.020069	0.112	0.026675
		0.113	0.079431	0.113	0.088841	0.113	0.019774	0.113	0.020142	0.113	0.026767
		0.114	0.079945	0.114	0.089468	0.114	0.019827	0.114	0.020211	0.114	0.02686
		0.115	0.080454	0.115	0.090092	0.115	0.019877	0.115	0.02028	0.115	0.026949
		0.116	0.080957	0.116	0.090714	0.116	0.019925	0.116	0.020343	0.116	0.027041
		0.117	0.081464	0.117	0.091333	0.117	0.019974	0.117	0.020412	0.117	0.027129
		0.118	0.081965	0.118	0.091952	0.118	0.020022	0.118	0.020476	0.118	0.027221
		0.119	0.082465	0.119	0.092568	0.119	0.020071	0.119	0.020545	0.119	0.027309
		0.12	0.082968	0.12	0.09318	0.12	0.020117	0.12	0.020607	0.12	0.027398
		0.121	0.083462	0.121	0.093791	0.121	0.020159	0.121	0.020671	0.121	0.027483
		0.122	0.083958	0.122	0.0944	0.122	0.020209	0.122	0.020736	0.122	0.02757
		0.123	0.084446	0.123	0.09501	0.123	0.020254	0.123	0.020799	0.123	0.027655
		0.124	0.084938	0.124	0.095615	0.124	0.020299	0.124	0.02086	0.124	0.027737
		0.125	0.085432	0.125	0.096216	0.125	0.020344	0.125	0.020922	0.125	0.027822
		0.126	0.085918	0.126	0.096819	0.126	0.020385	0.126	0.02099	0.126	0.027905
		0.127	0.0864	0.127	0.097421	0.127	0.020431	0.127	0.021051	0.127	0.027989
		0.128	0.086882	0.128	0.098014	0.128	0.020474	0.128	0.021112	0.128	0.028071
		0.129	0.087361	0.129	0.098613	0.129	0.020516	0.129	0.021173	0.129	0.028152
		0.13	0.087837	0.13	0.099208	0.13	0.020561	0.13	0.021232	0.13	0.028233
		0.131	0.088316	0.131	0.0998	0.131	0.020601	0.131	0.021291	0.131	0.028311
		0.132	0.088787	0.132	0.100389	0.132	0.020641	0.132	0.021351	0.132	0.028392
		0.133	0.089268	0.133	0.100976	0.133	0.020682	0.133	0.021411	0.133	0.02847
		0.134	0.089738	0.134	0.101562	0.134	0.020722	0.134	0.02147	0.134	0.028549
		0.135	0.090202	0.135	0.102148	0.135	0.020759	0.135	0.021526	0.135	0.028629
		0.136	0.090671	0.136	0.102727	0.136	0.020803	0.136	0.021583	0.136	0.028703
		0.137	0.091139	0.137	0.103312	0.137	0.020844	0.137	0.021645	0.137	0.028779
		0.138	0.0916	0.138	0.10389	0.138	0.020882	0.138	0.0217	0.138	0.028856
		0.139	0.092058	0.139	0.104464	0.139	0.02092	0.139	0.021757	0.139	0.028928
		0.14	0.092517	0.14	0.10504	0.14	0.020959	0.14	0.021811	0.14	0.029005
		0.141	0.092975	0.141	0.105613	0.141	0.020998	0.141	0.021869	0.141	0.02908
		0.142	0.093427	0.142	0.106184	0.142	0.021034	0.142	0.02192	0.142	0.029151
		0.143	0.093887	0.143	0.106754	0.143	0.02107	0.143	0.02198	0.143	0.029223
		0.144	0.094336	0.144	0.107325	0.144	0.021109	0.144	0.022033	0.144	0.029298
		0.145	0.09479	0.145	0.107887	0.145	0.021147	0.145	0.022089	0.145	0.02937
		0.146	0.095236	0.146	0.108453	0.146	0.021181	0.146	0.022142	0.146	0.02944
		0.147	0.095684	0.147	0.109014	0.147	0.021218	0.147	0.022197	0.147	0.029511
		0.148	0.096127	0.148	0.109574	0.148	0.021253	0.148	0.022253	0.148	0.02958
		0.149	0.096571	0.149	0.110134	0.149	0.021286	0.149	0.022302	0.149	0.029651
		0.15	0.097012	0.15	0.110692	0.15	0.021321	0.15	0.022355	0.15	0.02972
		0.151	0.097451	0.151	0.111245	0.151	0.021358	0.151	0.022406	0.151	0.029787
		0.152	0.097892	0.152	0.1118	0.152	0.02139	0.152	0.022459	0.152	0.029855
		0.153	0.098325	0.153	0.112352	0.153	0.021425	0.153	0.022508	0.153	0.029923
		0.154	0.098761	0.154	0.112903	0.154	0.021455	0.154	0.02256	0.154	0.029992
