Perfect_X	Perfect_Y	D24_X	D24_Y	D25_X	D25_Y	R21_X	R21_Y	R44_X	R44_Y	P246_X	P246_Y	P384_X	P384_Y
		0.169	0.078474			0.169	0.103636					0.169	0.012506
		0.17	0.078696			0.17	0.104013					0.17	0.012519
		0.171	0.078912			0.171	0.104384					0.171	0.012533
		0.172	0.079129			0.172	0.104757					0.172	0.012546
		0.173	0.079345			0.173	0.105125					0.173	0.012557
		0.174	0.079559			0.174	0.105494					0.174	0.01257
		0.175	0.07977			0.175	0.105859					0.175	0.012582
		0.176	0.07998			0.176	0.106223					0.176	0.012593
		0.177	0.080191			0.177	0.106587					0.177	0.012607
		0.178	0.080398			0.178	0.106946					0.178	0.012619
		0.179	0.080606			0.179	0.107307					0.179	0.01263
		0.18	0.080812			0.18	0.107665					0.18	0.012641
		0.181	0.081015			0.181	0.10802					0.181	0.012655
		0.182	0.081219			0.182	0.108376					0.182	0.012665
		0.183	0.081422			0.183	0.108728					0.183	0.012678
		0.184	0.081621			0.184	0.109079					0.184	0.012687
		0.185	0.081821			0.185	0.10943					0.185	0.012699
		0.186	0.082022			0.186	0.109777					0.186	0.012711
		0.187	0.08222			0.187	0.110122					0.187	0.012722
		0.188	0.082414			0.188	0.110468					0.188	0.012732
		0.189	0.08261			0.189	0.110811					0.189	0.012743
		0.19	0.082803			0.19	0.111152					0.19	0.012754
		0.191	0.082997			0.191	0.111493					0.191	0.012766
		0.192	0.083187			0.192	0.111831					0.192	0.012777
		0.193	0.083379			0.193	0.112168					0.193	0.012787
		0.194	0.08357			0.194	0.112505					0.194	0.012798
		0.195	0.083758			0.195	0.112839					0.195	0.012807
		0.196	0.083944			0.196	0.11317					0.196	0.012818
		0.197	0.08413			0.197	0.113501					0.197	0.012828
		0.198	0.084314			0.198	0.11383					0.198	0.012838
		0.199	0.084499			0.199	0.114159					0.199	0.012849
		0.2	0.084682			0.2	0.114485					0.2	0.012859
		0.201	0.084866			0.201	0.114811					0.201	0.012868
		0.202	0.085045			0.202	0.115135					0.202	0.012879
		0.203	0.085225			0.203	0.115457					0.203	0.012888
		0.204	0.085403			0.204	0.115777					0.204	0.012898
		0.205	0.085583			0.205	0.116097					0.205	0.012908
		0.206	0.08576			0.206	0.116415					0.206	0.012917
		0.207	0.085935			0.207	0.116732					0.207	0.012926
		0.208	0.086111			0.208	0.117046					0.208	0.012936
		0.209	0.086284			0.209	0.117359					0.209	0.012946
		0.21	0.086459			0.21	0.117672					0.21	0.012957
		0.211	0.08663			0.211	0.117984					0.211	0.012965
		0.212	0.086801			0.212	0.118293					0.212	0.012973
		0.213	0.086972			0.213	0.118602					0.213	0.012983
		0.214	0.087142			0.214	0.118909					0.214	0.012991
		0.215	0.087309			0.215	0.119214					0.215	0.013002
		0.216	0.087476			0.216	0.119519					0.216	0.013011
		0.217	0.087645			0.217	0.119822					0.217	0.013019
		0.218	0.087809			0.218	0.120123					0.218	0.013027
		0.219	0.087974			0.219	0.120425					0.219	0.013035
		0.22	0.088138			0.22	0.120722					0.22	0.013045
