Sample	QualiMap_mqc-generalstats-qualimap-avg_gc	QualiMap_mqc-generalstats-qualimap-1_x_pc	QualiMap_mqc-generalstats-qualimap-3_x_pc	QualiMap_mqc-generalstats-qualimap-5_x_pc	QualiMap_mqc-generalstats-qualimap-10_x_pc	QualiMap_mqc-generalstats-qualimap-20_x_pc	QualiMap_mqc-generalstats-qualimap-median_coverage	QualiMap_mqc-generalstats-qualimap-mean_coverage	QualiMap_mqc-generalstats-qualimap-percentage_aligned	QualiMap_mqc-generalstats-qualimap-mapped_reads	QualiMap_mqc-generalstats-qualimap-total_reads	QualiMap_mqc-generalstats-qualimap-general_error_rate	Snippy_mqc-generalstats-snippy-VariantTotal	Snippy_mqc-generalstats-snippy-Variant_SNP	Snippy_mqc-generalstats-snippy-Variant_INS	Snippy_mqc-generalstats-snippy-Variant_DEL	Snippy_mqc-generalstats-snippy-Variant_COMPLEX	endorSpy_mqc-generalstats-endorspy-endogenous_dna	endorSpy_mqc-generalstats-endorspy-endogenous_dna_post	Picard_mqc-generalstats-picard-PERCENT_DUPLICATION	Adapter Removal_mqc-generalstats-adapter_removal-percent_aligned	Adapter Removal_mqc-generalstats-adapter_removal-aligned_total	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences	Samtools_mqc-generalstats-samtools-flagstat_total	Samtools_mqc-generalstats-samtools-mapped_passed	DamageProfiler_mqc-generalstats-damageprofiler-3_Prime1	DamageProfiler_mqc-generalstats-damageprofiler-3_Prime2	DamageProfiler_mqc-generalstats-damageprofiler-5_Prime1	DamageProfiler_mqc-generalstats-damageprofiler-5_Prime2	DamageProfiler_mqc-generalstats-damageprofiler-std	DamageProfiler_mqc-generalstats-damageprofiler-median	DamageProfiler_mqc-generalstats-damageprofiler-mean_readlength
P384S6aM4-S98-L001_flagstat																												1077015	295792							
P384S6aM4-S98-L001_postfilterflagstat																												283486	283486							
P384S6aM4-S98-L001_rmdup																														0.14580686149936467	0.06766008860249698	0.1448808757244044	0.06134723336006415	18.398342125092576	56.0	59.411815812336116
P384S6aM4-S98-L002																		27.524902	26.382965	0.952508																
P384S6aM4-S98-L002_1																					98.31048278415162	2421922	61.64620430355433	49.0	91.0	18.181818181818183	1231772.0									
P384S6aM4-S98-L002_2																							60.8067014540089	52.0	91.0	18.181818181818183	1231772.0									
P384S6aM4-S98-L002_flagstat																												1082547	297970							
P384S6aM4-S98-L002_postfilterflagstat																												285608	285608							
P384S6aM4-S98-L002_rmdup																														0.14682413022661986	0.07105580088317945	0.1440434366017247	0.0636867088607595	18.482852159825484	56.0	59.511045122040116
P384S6aM5-S133-L001																		0.348952	0.305333	0.122087																
P384S6aM5-S133-L001_1																					99.03635671894442	2155352	11.823052087548305	52.0	91.0	9.090909090909092	1088162.0									
P384S6aM5-S133-L001_2																							11.658357655477374	57.0	91.0	18.181818181818183	1088162.0									
P384S6aM5-S133-L001_flagstat																												646508	2256							
P384S6aM5-S133-L001_postfilterflagstat																												1974	1974							
P384S6aM5-S133-L001_rmdup																														0.1306532663316583	0.053156146179401995	0.13970588235294118	0.05846153846153846	17.524378867529926	55.0	58.40658174097682
P384S6aM5-S133-L002																		0.346166	0.299799	0.116373																
P384S6aM5-S133-L002_1																					99.08247508595916	2211396	11.753805729666837	52.0	91.0	9.090909090909092	1115937.0									
P384S6aM5-S133-L002_2																							11.72807808340022	57.0	91.0	18.181818181818183	1115937.0									
P384S6aM5-S133-L002_flagstat																												662111	2292							
P384S6aM5-S133-L002_postfilterflagstat																												1985	1985							
P384S6aM5-S133-L002_rmdup																														0.15526315789473685	0.057926829268292686	0.1278538812785388	0.05362776025236593	16.996577706590607	55.0	58.52338413032045
P384S6bM4-S99-L001																		28.979554	27.599621	0.981803																
P384S6bM4-S99-L001_1																					98.52721444737479	5647174	78.74918217992652	51.0	91.0	18.181818181818183	2865794.0									
P384S6bM4-S99-L001_2																							77.93925179125664	51.0	91.0	27.27272727272727	2865794.0									
P384S6bM4-S99-L001_flagstat																												2489324	721395							
P384S6bM4-S99-L001_postfilterflagstat																												687044	687044							
P384S6bM4-S99-L001_rmdup																														0.14637579169598874	0.06923751095530237	0.13047980669658268	0.06542056074766354	17.55712532049934	55.0	58.30485696322082
P384S6bM4-S99-L002																		29.114811	27.743025	0.982241																
P384S6bM4-S99-L002_1																					98.52618159755124	5781004	79.1945934499027	51.0	91.0	18.181818181818183	2933740.0									
P384S6bM4-S99-L002_2																							78.29794796977986	51.0	91.0	27.27272727272727	2933740.0									
P384S6bM4-S99-L002_flagstat																												2550688	742628							
P384S6bM4-S99-L002_postfilterflagstat																												707638	707638							
P384S6bM4-S99-L002_rmdup																														0.14712078651685392	0.07236842105263158	0.1323024054982818	0.06517857142857143	17.685403955148452	55.0	58.44065676309685
P384S6bM5-S134-L001																		0.680726	0.592006	0.331032																
P384S6bM5-S134-L001_1																					98.99248262079905	4073802	26.14585234160873	55.0	91.0	9.090909090909092	2057632.0									
P384S6bM5-S134-L001_2																							25.798449557424362	56.0	91.0	18.181818181818183	2057632.0									
P384S6bM5-S134-L001_flagstat																												1419073	9660							
P384S6bM5-S134-L001_postfilterflagstat																												8401	8401							
P384S6bM5-S134-L001_rmdup																														0.13328255902513328	0.07020872865275142	0.14454277286135694	0.06461232604373758	17.00446690129992	54.0	57.36578221915874
P384S6bM5-S134-L002																		0.691305	0.594146	0.336417																
P384S6bM5-S134-L002_1																					99.03227454143047	4226644	26.80815886014115	55.0	91.0	9.090909090909092	2133973.0									
P384S6bM5-S134-L002_2																							26.63711818227489	56.0	91.0	18.181818181818183	2133973.0									
P384S6bM5-S134-L002_flagstat																												1473880	10189							
P384S6bM5-S134-L002_postfilterflagstat																												8757	8757							
P384S6bM5-S134-L002_rmdup																														0.1330827067669173	0.07326355851569934	0.12741589119541877	0.06692913385826772	16.777176178702383	54.0	57.221091273151856
P384S6cM4-S100-L001																		28.440832	27.224017	0.973242																
P384S6cM4-S100-L001_1																					98.86035042759902	4826736	68.00595185661409	51.0	91.0	18.181818181818183	2441189.0									
P384S6cM4-S100-L001_2																							67.11495713811493	51.0	91.0	18.181818181818183	2441189.0									
P384S6cM4-S100-L001_flagstat																												2127603	605108							
P384S6cM4-S100-L001_postfilterflagstat																												579219	579219							
P384S6cM4-S100-L001_rmdup																														0.14124293785310735	0.06364922206506365	0.13676148796498905	0.06542056074766354	17.454392027488208	55.0	58.22629036358849
P384S6cM4-S100-L002																		28.45565	27.227444	0.973386																
P384S6cM4-S100-L002_1																					98.88961495047313	4851748	68.1968975540266	51.0	91.0	18.181818181818183	2453113.0									
P384S6cM4-S100-L002_2																							67.32795290609292	51.0	91.0	18.181818181818183	2453113.0									
P384S6cM4-S100-L002_flagstat																												2138078	608404							
P384S6cM4-S100-L002_postfilterflagstat																												582144	582144							
P384S6cM4-S100-L002_rmdup																														0.1430598921373829	0.06376195536663125	0.13516453630677183	0.0645272601794341	17.583312828905044	55.0	58.26862919633649
P384S6cM5-S135-L001																		0.783089	0.692169	0.175706																
P384S6cM5-S135-L001_1																					98.77544320420223	1444176	12.46104293395831	55.0	91.0	9.090909090909092	731040.0									
P384S6cM5-S135-L001_2																							12.193288949059422	55.0	91.0	9.090909090909092	731040.0									
P384S6cM5-S135-L001_flagstat																												511436	4005							
P384S6cM5-S135-L001_postfilterflagstat																												3540	3540							
P384S6cM5-S135-L001_rmdup																														0.14759036144578314	0.07871198568872988	0.1262848751835536	0.06630824372759857	17.007942942220254	54.0	57.66926322622494
P384S6cM5-S135-L002																		0.741281	0.652548	0.159907																
P384S6cM5-S135-L002_1																					98.8613909602394	1481954	12.649070168696412	55.0	91.0	9.090909090909092	749511.0									
P384S6cM5-S135-L002_2																							12.533735925896892	55.0	91.0	9.090909090909092	749511.0									
P384S6cM5-S135-L002_flagstat																												525172	3893							
P384S6cM5-S135-L002_postfilterflagstat																												3427	3427							
P384S6cM5-S135-L002_rmdup																														0.13076923076923078	0.06037735849056604	0.1378299120234604	0.06972789115646258	16.871821175738987	54.0	57.712500000000276
P384aM3-S506-L001																		29.391744	28.293989	0.949726																
P384aM3-S506-L001_1																					96.136374550674	2162034	53.607178032138286	49.0	91.0	18.181818181818183	1124462.0									
P384aM3-S506-L001_2																							53.42220838205177	49.0	91.0	18.181818181818183	1124462.0									
P384aM3-S506-L001_flagstat																												1035386	304318							
P384aM3-S506-L001_postfilterflagstat																												292952	292952							
P384aM3-S506-L001_rmdup																														0.15036075036075036	0.06285714285714286	0.15220566754309087	0.06761061946902655	18.97717071841433	61.0	64.74320261874554
P384aM3-S506-L002																		29.413486	28.306383	0.949473																
P384aM3-S506-L002_1																					96.09666869709696	2155012	54.15261297640506	49.0	91.0	18.181818181818183	1121273.0									
P384aM3-S506-L002_2																							53.66393044474847	49.0	91.0	18.181818181818183	1121273.0									
P384aM3-S506-L002_flagstat																												1031792	303486							
P384aM3-S506-L002_postfilterflagstat																												292063	292063							
P384aM3-S506-L002_rmdup																														0.15304649148137453	0.06294452347083926	0.1565217391304348	0.06871035940803383	19.115783988838523	61.0	64.77483002266165
P384bM3-S507-L001																		32.973972	31.791815	0.946668																
P384bM3-S507-L001_1																					96.9307743423367	1735846	59.85554944096236	48.0	91.0	18.181818181818183	895405.0									
P384bM3-S507-L001_2																							59.466059612485594	48.0	91.0	18.181818181818183	895405.0									
P384bM3-S507-L001_flagstat																												840751	277229							
P384bM3-S507-L001_postfilterflagstat																												267290	267290							
P384bM3-S507-L001_rmdup																														0.16258688425506196	0.06321401370906321	0.14600059470710675	0.07568555758683729	18.648170120242295	61.0	64.12315338947776
P384bM3-S507-L002																		32.942624	31.748743	0.946746																
P384bM3-S507-L002_1																					96.94624943318762	1736032	60.31628407592003	48.0	91.0	18.181818181818183	895358.0									
P384bM3-S507-L002_2																							59.59570266393856	48.0	91.0	18.181818181818183	895358.0									
P384bM3-S507-L002_flagstat																												841290	277143							
P384bM3-S507-L002_postfilterflagstat																												267099	267099							
P384bM3-S507-L002_rmdup																														0.16306662610282932	0.06760349411317888	0.14817036592681462	0.07485465116279069	18.675774135191983	61.0	64.132521787247
P384cM3-S508-L001																		35.298506	34.224769	0.941161																
P384cM3-S508-L001_1																					96.57843942049564	1305924	61.49242575723148	47.0	91.0	18.181818181818183	676095.0									
P384cM3-S508-L001_2																							61.52277271080686	48.0	91.0	18.181818181818183	676095.0									
P384cM3-S508-L001_flagstat																												632650	223316							
P384cM3-S508-L001_postfilterflagstat																												216523	216523							
P384cM3-S508-L001_rmdup																														0.1571330117160579	0.07686017988552739	0.14963880288957687	0.06825657894736842	18.76966341500993	62.0	64.82706535141706
P384cM3-S508-L002																		35.263394	34.161037	0.94091																
P384cM3-S508-L002_1																					96.57323317982453	1303926	61.8967765641958	48.0	91.0	18.181818181818183	675097.0									
P384cM3-S508-L002_2																							61.52163801875902	48.0	91.0	18.181818181818183	675097.0									
P384cM3-S508-L002_flagstat																												631828	222804							
P384cM3-S508-L002_postfilterflagstat																												215839	215839							
P384cM3-S508-L002_rmdup																														0.1564093845630738	0.0753646677471637	0.1456445993031359	0.06947282386595832	18.695304002845013	62.0	64.87966741088468
P387	42.32307233407904	79.58947007725905	58.954130092932395	45.85909928973023	26.43944797514625	8.327165101229747	4	6.8724	100.0	454502.0	454502.0	1.11	101	95	2	3	1																			
P387M2-S280-L001																		38.86031	37.464005	0.911822																
P387M2-S280-L001_1																					97.14115537272089	4511142	75.61610141290545	44.0	86.0	18.181818181818183	2321952.0									
P387M2-S280-L001_2																							74.99229627695698	45.0	91.0	27.27272727272727	2321952.0									
P387M2-S280-L001_flagstat																												2192000	851818							
P387M2-S280-L001_postfilterflagstat																												821211	821211							
P387M2-S280-L001_rmdup																														0.12981048715265667	0.06718243734708722	0.1400540477029726	0.07230189676822417	29.150530224390934	72.0	78.81797542551503
P387M2-S280-L002																		38.948957	37.580881	0.913063																
P387M2-S280-L002_1																					97.15991917549826	4570902	75.52889365428666	44.0	86.0	18.181818181818183	2352257.0									
P387M2-S280-L002_2																							74.9508487173623	45.0	91.0	27.27272727272727	2352257.0									
P387M2-S280-L002_flagstat																												2222098	865484							
P387M2-S280-L002_postfilterflagstat																												835084	835084							
P387M2-S280-L002_rmdup																														0.13209398995439062	0.06596375617792422	0.13972313467855466	0.07205182443151771	29.131055063378426	72.0	78.7870965085742
P387S6aM4-S101-L001																		22.46586	21.422775	0.921987																
P387S6aM4-S101-L001_1																					98.75400321158855	5474600	65.335512836573	49.0	91.0	27.27272727272727	2771837.0									
P387S6aM4-S101-L001_2																							64.90202881059899	49.0	91.0	36.36363636363637	2771837.0									
P387S6aM4-S101-L001_flagstat																												2481966	557595							
P387S6aM4-S101-L001_postfilterflagstat																												531706	531706							
P387S6aM4-S101-L001_rmdup																														0.1414614288622023	0.07856787667826952	0.13891695291978176	0.07487154391974553	20.00328616886975	57.0	61.352910179637696
P387S6aM4-S101-L002																		22.524961	21.474686	0.922384																
P387S6aM4-S101-L002_1																					98.783703907425	5488308	65.75476062839844	49.0	91.0	27.27272727272727	2777942.0									
P387S6aM4-S101-L002_2																							65.08862493328964	49.0	91.0	36.36363636363637	2777942.0									
P387S6aM4-S101-L002_flagstat																												2487920	560403							
P387S6aM4-S101-L002_postfilterflagstat																												534273	534273							
P387S6aM4-S101-L002_rmdup																														0.14271172638436483	0.0758774097874444	0.13753291472554183	0.0761569294303413	19.991283930382078	57.0	61.33885960709475
P387S6aM5-S136-L001																		2.049733	1.852499	0.073675																
P387S6aM5-S136-L001_1																					98.80994087725445	727670	5.604564067533033	57.0	91.0	9.090909090909092	368217.0									
P387S6aM5-S136-L001_2																							5.5351351490482585	57.0	91.0	18.181818181818183	368217.0									
P387S6aM5-S136-L001_flagstat																												240324	4926							
P387S6aM5-S136-L001_postfilterflagstat																												4452	4452							
P387S6aM5-S136-L001_rmdup																														0.16012396694214875	0.06296296296296296	0.14871794871794872	0.0731981981981982	19.805536949501587	56.0	60.39023826046771
P387S6aM5-S136-L002																		2.08675	1.879607	0.074614																
P387S6aM5-S136-L002_1																					98.90022200978107	751074	5.699311992280329	57.0	91.0	9.090909090909092	379713.0									
P387S6aM5-S136-L002_2																							5.668455601084787	57.0	91.0	18.181818181818183	379713.0									
P387S6aM5-S136-L002_flagstat																												248137	5178							
P387S6aM5-S136-L002_postfilterflagstat																												4664	4664							
P387S6aM5-S136-L002_rmdup																														0.15204678362573099	0.07542579075425791	0.1320574162679426	0.07888631090487239	19.598831738197372	55.0	59.85632056674809
P387S6bM4-S102-L001																		24.298452	23.302594	0.910668																
P387S6bM4-S102-L001_1																					98.69367755684242	4512648	65.57684574607657	48.0	91.0	27.27272727272727	2286189.0									
P387S6bM4-S102-L001_2																							65.01198555735792	49.0	91.0	27.27272727272727	2286189.0									
P387S6bM4-S102-L001_flagstat																												2044266	496725							
P387S6bM4-S102-L001_postfilterflagstat																												476367	476367							
P387S6bM4-S102-L001_rmdup																														0.14566462571597866	0.07735687139879857	0.13979129749950778	0.06966319360310153	19.850915187483345	57.0	61.054310264319724
P387S6bM4-S102-L002																		24.33265	23.332812	0.911058																
P387S6bM4-S102-L002_1																					98.71408112313077	4532690	65.9370736729906	48.0	91.0	27.27272727272727	2295868.0									
P387S6bM4-S102-L002_2																							65.27542806635576	49.0	91.0	27.27272727272727	2295868.0									
P387S6bM4-S102-L002_flagstat																												2053233	499606							
P387S6bM4-S102-L002_postfilterflagstat																												479077	479077							
P387S6bM4-S102-L002_rmdup																														0.1416287803913817	0.07679118187385181	0.14190448171030695	0.0739214735821619	19.957999508690648	56.0	61.030524916639166
P387S6bM5-S137-L001																		1.513043	1.370575	0.113048																
P387S6bM5-S137-L001_1																					98.8980398409049	1885772	7.442755711464429	55.0	91.0	9.090909090909092	953392.0									
P387S6bM5-S137-L001_2																							7.361951573343731	58.0	91.0	18.181818181818183	953392.0									
P387S6bM5-S137-L001_flagstat																												569250	8613							
P387S6bM5-S137-L001_postfilterflagstat																												7802	7802							
P387S6bM5-S137-L001_rmdup																														0.13801035077630822	0.0765661252900232	0.1264236902050114	0.08041237113402062	19.55192113397078	55.0	59.36963835155567
P387S6bM5-S137-L002																		1.500321	1.368492	0.107187																
P387S6bM5-S137-L002_1																					98.95916863913465	1942424	7.6474965083111215	55.0	91.0	9.090909090909092	981427.0									
P387S6bM5-S137-L002_2																							7.586118661455487	58.0	91.0	18.181818181818183	981427.0									
P387S6bM5-S137-L002_flagstat																												585608	8786							
P387S6bM5-S137-L002_postfilterflagstat																												8014	8014							
P387S6bM5-S137-L002_rmdup																														0.1351190476190476	0.07850330154071901	0.1372093023255814	0.07267833109017496	19.120594377361712	55.0	58.965535956581014
P387S6cM4-S103-L001																		27.845246	26.506026	0.911937																
P387S6cM4-S103-L001_1																					98.72405255058693	3472042	73.5499237051747	48.0	91.0	18.181818181818183	1758458.0									
P387S6cM4-S103-L001_2																							72.71830452094426	47.0	91.0	36.36363636363637	1758458.0									
P387S6cM4-S103-L001_flagstat																												1613999	449422							
P387S6cM4-S103-L001_postfilterflagstat																												427807	427807							
P387S6cM4-S103-L001_rmdup																														0.14625270101216878	0.08284023668639054	0.14173932483791638	0.07033981261362048	20.01089011278666	57.0	61.39444488365176
P387S6cM4-S103-L002																		27.951585	26.635678	0.912933																
P387S6cM4-S103-L002_1																					98.7362343753976	3492192	73.77362941761594	48.0	91.0	18.181818181818183	1768445.0									
P387S6cM4-S103-L002_2																							72.78498288527703	47.0	91.0	36.36363636363637	1768445.0									
P387S6cM4-S103-L002_flagstat																												1624051	453948							
P387S6cM4-S103-L002_postfilterflagstat																												432577	432577							
P387S6cM4-S103-L002_rmdup																														0.14584517449130385	0.08354114713216958	0.14450226995903	0.07174700473669546	20.004932380963766	57.0	61.4083456347498
P387S6cM5-S138-L001																		2.966956	2.67461	0.142618																
P387S6cM5-S138-L001_1																					98.92608397908278	1135436	9.17128711660564	57.0	91.0	9.090909090909092	573881.0									
P387S6cM5-S138-L001_2																							9.015164129482386	56.0	91.0	18.181818181818183	573881.0									
P387S6cM5-S138-L001_flagstat																												379345	11255							
P387S6cM5-S138-L001_postfilterflagstat																												10146	10146							
P387S6cM5-S138-L001_rmdup																														0.15191098209966133	0.07428214731585518	0.13454376163873372	0.07650602409638554	19.15728284510876	55.0	59.084548104957534
P387S6cM5-S138-L002																		2.972933	2.690041	0.144575																
P387S6cM5-S138-L002_1																					98.99066402345008	1168466	9.344841109696105	57.0	91.0	9.090909090909092	590190.0									
P387S6cM5-S138-L002_2																							9.275828297247628	56.0	91.0	18.181818181818183	590190.0									
P387S6cM5-S138-L002_flagstat																												389548	11581							
P387S6cM5-S138-L002_postfilterflagstat																												10479	10479							
P387S6cM5-S138-L002_rmdup																														0.14751046998604	0.06598407281001138	0.14319138979878335	0.07105719237435008	19.0937308035282	55.0	58.98519324986373
P387S6dM4-S104-L001																		24.455686	23.440493	0.914043																
P387S6dM4-S104-L001_1																					98.79895892238663	4958370	68.25253047908461	48.0	91.0	27.27272727272727	2509323.0									
P387S6dM4-S104-L001_2																							67.31248187132408	49.0	91.0	36.36363636363637	2509323.0									
P387S6dM4-S104-L001_flagstat																												2205986	539489							
P387S6dM4-S104-L001_postfilterflagstat																												517094	517094							
P387S6dM4-S104-L001_rmdup																														0.1448776758409786	0.07406969875959835	0.14023866348448688	0.07688776681202662	19.688580503235517	57.0	60.96183001275135
P387S6dM4-S104-L002																		24.451691	23.426675	0.914279																
P387S6dM4-S104-L002_1																					98.83793238237156	4981244	68.52343230018502	48.0	91.0	27.27272727272727	2519905.0									
P387S6dM4-S104-L002_2																							67.53806673843721	49.0	91.0	36.36363636363637	2519905.0									
P387S6dM4-S104-L002_flagstat																												2215769	541793							
P387S6dM4-S104-L002_postfilterflagstat																												519081	519081							
P387S6dM4-S104-L002_rmdup																														0.1438924382568895	0.0759882005899705	0.1405138902057457	0.07792953058647997	19.74977674932631	57.0	61.03531540385951
P387S6eM4-S105-L001																		26.224188	25.100838	0.922244																
P387S6eM4-S105-L001_1																					98.94435719188746	4664518	72.19300783170158	47.0	91.0	27.27272727272727	2357142.0									
P387S6eM4-S105-L001_2																							71.46062613205403	48.0	91.0	27.27272727272727	2357142.0									
P387S6eM4-S105-L001_flagstat																												2115280	554715							
P387S6eM4-S105-L001_postfilterflagstat																												530953	530953							
P387S6eM4-S105-L001_rmdup																														0.14628124678531015	0.07729164039843651	0.13943263896158276	0.07442034405385191	19.671612168433953	56.0	60.59757887896363
P387S6eM4-S105-L002																		26.245751	25.129453	0.922517																
P387S6eM4-S105-L002_1																					98.97043533627294	4700488	72.48923536240989	47.0	91.0	27.27272727272727	2374693.0									
P387S6eM4-S105-L002_2																							71.77280104777255	48.0	91.0	27.27272727272727	2374693.0									
P387S6eM4-S105-L002_flagstat																												2132048	559572							
P387S6eM4-S105-L002_postfilterflagstat																												535772	535772							
P387S6eM4-S105-L002_rmdup																														0.14480566095785047	0.0770392749244713	0.1413678065054212	0.07807620237351655	19.69495382083609	56.0	60.57054979775034
P387aM3-S509-L001																		36.509392	35.127541	0.82825																
P387aM3-S509-L001_1																					97.82570578666518	1930424	62.81565821295445	46.0	91.0	18.181818181818183	986665.0									
P387aM3-S509-L001_2																							62.824380761573465	46.0	91.0	18.181818181818183	986665.0									
P387aM3-S509-L001_flagstat																												931070	339928							
P387aM3-S509-L001_postfilterflagstat																												327062	327062							
P387aM3-S509-L001_rmdup																														0.13304269392663862	0.07337942955920485	0.13151685820838724	0.06923803796924663	30.16520784619853	76.0	82.13263769554645
P387aM3-S509-L002																		36.586727	35.210713	0.828266																
P387aM3-S509-L002_1																					97.84584427584865	1931430	63.371033399262394	46.0	91.0	18.181818181818183	986976.0									
P387aM3-S509-L002_2																							62.99902733769321	46.0	91.0	18.181818181818183	986976.0									
P387aM3-S509-L002_flagstat																												931458	340790							
P387aM3-S509-L002_postfilterflagstat																												327973	327973							
P387aM3-S509-L002_rmdup																														0.12832893247831006	0.07520795815110197	0.13531103375208112	0.06772048026258962	30.194063548682156	76.0	82.05924237604583
P387bM3-S510-L001																		40.88438	39.602849	0.833479																
P387bM3-S510-L001_1																					96.1147656090294	1946522	68.85499508224245	44.0	91.0	18.181818181818183	1012603.0									
P387bM3-S510-L001_2																							68.6747224221485	44.0	91.0	18.181818181818183	1012603.0									
P387bM3-S510-L001_flagstat																												944730	386247							
P387bM3-S510-L001_postfilterflagstat																												374140	374140							
P387bM3-S510-L001_rmdup																														0.133225349260984	0.07581000314564329	0.12850116136084164	0.07065007343278967	31.29910125998672	79.0	85.69107964714316
P387bM3-S510-L002																		41.003332	39.733254	0.834228																
P387bM3-S510-L002_1																					96.11545297637994	1944604	69.46279610368487	44.0	91.0	18.181818181818183	1011598.0									
P387bM3-S510-L002_2																							68.89118563599573	44.0	91.0	18.181818181818183	1011598.0									
P387bM3-S510-L002_flagstat																												944194	387151							
P387bM3-S510-L002_postfilterflagstat																												375159	375159							
P387bM3-S510-L002_rmdup																														0.13343287634043707	0.07461618009704876	0.13090040927694407	0.07280878033699181	31.330621697037927	79.0	85.539838309449
P387cM3-S511-L001																		35.548194	34.384291	0.85323																
P387cM3-S511-L001_1																					96.67990339886866	2385944	62.73346345521876	46.0	91.0	18.181818181818183	1233940.0									
P387cM3-S511-L001_2																							62.60325777242674	46.0	91.0	18.181818181818183	1233940.0									
P387cM3-S511-L001_flagstat																												1149237	408533							
P387cM3-S511-L001_postfilterflagstat																												395157	395157							
P387cM3-S511-L001_rmdup																														0.13366157410759538	0.07626764681313174	0.13476533764896279	0.07433159506663356	31.003456509124202	78.0	84.73578624016464
P387cM3-S511-L002																		35.606198	34.455641	0.853582																
P387cM3-S511-L002_1																					96.70299174774219	2383516	63.31175754356893	46.0	91.0	18.181818181818183	1232390.0									
P387cM3-S511-L002_2																							62.82630855031566	46.0	91.0	18.181818181818183	1232390.0									
P387cM3-S511-L002_flagstat																												1148140	408809							
P387cM3-S511-L002_postfilterflagstat																												395599	395599							
P387cM3-S511-L002_rmdup																														0.1311929952572054	0.07690380761523045	0.1342445511636498	0.07375558127997354	31.023084014916115	78.0	84.71118786191656
R21	43.56579745300182	66.11422082029378	32.11522913213751	16.817357870991987	3.973970233060827	0.30539219086287267	1	2.3486	100.0	187235.0	187235.0	1.23	64	60	1	3	0																			
R21E1S1S2-S58-L001																		2.58035	2.413129	0.502731																
R21E1S1S2-S58-L001_1																					99.08216683998957	27584610	32.33130757132017	59.0	91.0	9.090909090909092	13920068.0									
R21E1S1S2-S58-L001_2																							32.259658265795366	58.0	91.0	18.181818181818183	13920068.0									
R21E1S1S2-S58-L001_flagstat																												12034336	310528							
R21E1S1S2-S58-L001_postfilterflagstat																												290404	290404							
R21E1S1S2-S58-L001_rmdup																														0.1906213364595545	0.10783931357254291	0.17668614439932653	0.09846970163026761	16.34641615685056	58.0	60.67474959736875
R21E1S1S2-S58-L002																		2.568922	2.403381	0.498563																
R21E1S1S2-S58-L002_1																					99.09506989893173	27335488	32.33283463172026	59.0	91.0	9.090909090909092	13792557.0									
R21E1S1S2-S58-L002_2																							31.984746970315115	58.0	91.0	18.181818181818183	13792557.0									
R21E1S1S2-S58-L002_flagstat																												11912429	306021							
R21E1S1S2-S58-L002_postfilterflagstat																												286301	286301							
R21E1S1S2-S58-L002_rmdup																														0.1902760152284264	0.10719295511221945	0.17681939357699877	0.09991037680707633	16.37752433018038	58.0	60.65433686771188
R36	44.041471055156066	94.63567746857825	91.39678106278554	87.1770270536072	75.50131422164847	53.300668446568274	21	24.1954	100.0	1682735.0	1682735.0	1.29	112	101	5	4	2																			
R36E1S1S2-S59-L001																		35.537554	34.236835	0.691777																
R36E1S1S2-S59-L001_1																					99.18092939947262	29662350	32.809550850589915	52.0	91.0	9.090909090909092	14953656.0									
R36E1S1S2-S59-L001_2																							32.90802840306098	51.0	91.0	9.090909090909092	14953656.0									
R36E1S1S2-S59-L001_flagstat																												13108668	4658500							
R36E1S1S2-S59-L001_postfilterflagstat																												4487993	4487993							
R36E1S1S2-S59-L001_rmdup																														0.20761215957991724	0.10773947865178347	0.1839675078560612	0.10119296589840664	22.422700905753487	66.0	69.70106831802244
R36E1S1S2-S59-L002																		35.486567	34.180264	0.690008																
R36E1S1S2-S59-L002_1																					99.19547501314608	29469450	32.74977121931869	52.0	91.0	9.090909090909092	14854231.0									
R36E1S1S2-S59-L002_2																							32.69258155968615	51.0	91.0	18.181818181818183	14854231.0									
R36E1S1S2-S59-L002_flagstat																												13011766	4617429							
R36E1S1S2-S59-L002_postfilterflagstat																												4447456	4447456							
R36E1S1S2-S59-L002_rmdup																														0.20732543938177378	0.10782495692550302	0.18487412177985948	0.10006063628633244	22.421375662977447	66.0	69.69536335955263
R44	44.88034188034189	5.4206596264277085	0.07507471756398484	0.030974014747854748	0.010062413881990246	0.003126387852223307	0	0.061	100.0	5491.0	5491.0	1.4000000000000001	36	30	0	0	6																			
R44E1S1S2-S62-L001																		0.829613	0.285465	0.771746																
R44E1S1S2-S62-L001_1																					97.04587347524354	17289654	49.035228681469015	55.0	91.0	9.090909090909092	8907980.0									
R44E1S1S2-S62-L001_2																							49.184892233164454	56.0	91.0	18.181818181818183	8907980.0									
R44E1S1S2-S62-L001_flagstat																												7692019	63814							
R44E1S1S2-S62-L001_postfilterflagstat																												21958	21958							
R44E1S1S2-S62-L001_rmdup																														0.14297872340425533	0.07330827067669173	0.1339712918660287	0.0811541929666366	16.641925209352788	51.0	54.893875192604334
R44E1S1S2-S62-L002																		0.825212	0.277663	0.765857																
R44E1S1S2-S62-L002_1																					97.06022474611987	17178596	48.623170092429454	55.0	91.0	9.090909090909092	8849452.0									
