Sample	QualiMap_mqc-generalstats-qualimap-avg_gc	QualiMap_mqc-generalstats-qualimap-1_x_pc	QualiMap_mqc-generalstats-qualimap-3_x_pc	QualiMap_mqc-generalstats-qualimap-5_x_pc	QualiMap_mqc-generalstats-qualimap-10_x_pc	QualiMap_mqc-generalstats-qualimap-20_x_pc	QualiMap_mqc-generalstats-qualimap-median_coverage	QualiMap_mqc-generalstats-qualimap-mean_coverage	QualiMap_mqc-generalstats-qualimap-percentage_aligned	QualiMap_mqc-generalstats-qualimap-mapped_reads	QualiMap_mqc-generalstats-qualimap-total_reads	QualiMap_mqc-generalstats-qualimap-general_error_rate	Snippy_mqc-generalstats-snippy-VariantTotal	Snippy_mqc-generalstats-snippy-Variant_SNP	Snippy_mqc-generalstats-snippy-Variant_INS	Snippy_mqc-generalstats-snippy-Variant_DEL	Snippy_mqc-generalstats-snippy-Variant_COMPLEX	endorSpy_mqc-generalstats-endorspy-endogenous_dna	endorSpy_mqc-generalstats-endorspy-endogenous_dna_post	Picard_mqc-generalstats-picard-PERCENT_DUPLICATION	Adapter Removal_mqc-generalstats-adapter_removal-percent_aligned	Adapter Removal_mqc-generalstats-adapter_removal-aligned_total	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences	Samtools_mqc-generalstats-samtools-flagstat_total	Samtools_mqc-generalstats-samtools-mapped_passed	DamageProfiler_mqc-generalstats-damageprofiler-3_Prime1	DamageProfiler_mqc-generalstats-damageprofiler-3_Prime2	DamageProfiler_mqc-generalstats-damageprofiler-5_Prime1	DamageProfiler_mqc-generalstats-damageprofiler-5_Prime2	DamageProfiler_mqc-generalstats-damageprofiler-std	DamageProfiler_mqc-generalstats-damageprofiler-median	DamageProfiler_mqc-generalstats-damageprofiler-mean_readlength
D72-L002_flagstat																												9498899	985793							
D72-L002_postfilterflagstat																												943716	943716							
D72-L002_rmdup																														0.17777717947337246	0.10012842122160687	0.15760374493927126	0.09636175613424838	20.964625883112248	63.0	67.09015875308879
D75	44.592997786456834	93.84383175064262	89.34057026556698	83.90831608816414	69.11975618315664	40.299284347045614	16	17.709	100.0	1326098.0	1326098.0	1.1400000000000001	160	144	9	5	2																			
D75-L001																		58.193111	56.114179	0.837346																
D75-L001_1																					99.08487124179344	27085884	59.99286583344528	47.0	91.0	18.181818181818183	13668022.0									
D75-L001_2																							60.027985300375626	47.0	91.0	27.27272727272727	13668022.0									
D75-L001_flagstat																												13246800	7708725							
D75-L001_postfilterflagstat																												7433333	7433333							
D75-L001_rmdup																														0.18320061218285819	0.09314307412514738	0.16676108786472257	0.08730042362302702	18.792526642205253	61.0	64.7792105233238
D75-L002																		58.235592	56.156396	0.835812																
D75-L002_1																					99.09557518888013	26775670	59.811489496519414	47.0	91.0	18.181818181818183	13510023.0									
D75-L002_2																							59.62131108669105	47.0	91.0	27.27272727272727	13510023.0									
D75-L002_flagstat																												13093618	7625146							
D75-L002_postfilterflagstat																												7352904	7352904							
D75-L002_rmdup																														0.18277960411275093	0.09333739630403316	0.16676684388625623	0.0875062425188861	18.786303895162998	61.0	64.76430793796149
P187	42.46856404635139	78.46341142746522	54.59621458615217	39.58700623517683	18.441713053497466	3.5728815875424833	3	5.2367	100.0	330435.0	330435.0	1.1400000000000001	120	108	6	4	2																			
P187M2-S270-L001																		42.929984	41.018268	0.699026																
P187M2-S270-L001_1																					97.33430520122872	710410	49.83719898049117	45.0	86.0	9.090909090909092	364933.0									
P187M2-S270-L001_2																							49.36129711980666	45.0	91.0	9.090909090909092	364933.0									
P187M2-S270-L001_flagstat																												344978	148099							
P187M2-S270-L001_postfilterflagstat																												141504	141504							
P187M2-S270-L001_rmdup																														0.15601846880704393	0.08389996542583843	0.1472283349051661	0.07596218771100607	27.204821700798487	75.0	80.4816232235811
P187M2-S270-L002																		43.0715	41.176146	0.69834																
P187M2-S270-L002_1																					97.34710008892402	709380	49.7517284830746	45.0	86.0	9.090909090909092	364356.0									
P187M2-S270-L002_2																							49.108886739009364	45.0	91.0	9.090909090909092	364356.0									
P187M2-S270-L002_flagstat																												344685	148461							
P187M2-S270-L002_postfilterflagstat																												141928	141928							
P187M2-S270-L002_rmdup																														0.15609704192381357	0.08378100354326208	0.15070229168866828	0.07757562227927224	27.168548138482798	75.0	80.35681786526075
P187M2-S67-L001																		40.957896	38.943563	0.525394																
P187M2-S67-L001_1																					98.48318163100996	320482	37.81519920900933	46.0	91.0	9.090909090909092	162709.0									
P187M2-S67-L001_2																							37.558238202928706	46.0	91.0	9.090909090909092	162709.0									
P187M2-S67-L001_flagstat																												156280	64009							
P187M2-S67-L001_postfilterflagstat																												60861	60861							
P187M2-S67-L001_rmdup																														0.15348101265822786	0.08287568647029456	0.1439266615737204	0.07731703287625971	26.936929690483264	74.0	79.48345279330664
P187M2-S67-L002																		41.234591	39.202079	0.530159																
P187M2-S67-L002_1																					98.46967015187732	323786	38.49484586808375	46.0	91.0	9.090909090909092	164409.0									
P187M2-S67-L002_2																							38.116620496327535	46.0	91.0	9.090909090909092	164409.0									
P187M2-S67-L002_flagstat																												157785	65062							
P187M2-S67-L002_postfilterflagstat																												61855	61855							
P187M2-S67-L002_rmdup																														0.15753962027302684	0.08201680672268907	0.14472285497342444	0.07419566644780039	27.03465272688862	74.0	79.4223820561717
P187S6aM4-S69-L001																		41.903263	40.176665	0.967958																
P187S6aM4-S69-L001_1																					98.61679904590139	4726502	78.9642448554203	48.0	91.0	18.181818181818183	2396398.0									
P187S6aM4-S69-L001_2																							78.46928176408795	49.0	91.0	18.181818181818183	2396398.0									
P187S6aM4-S69-L001_flagstat																												2137497	895681							
P187S6aM4-S69-L001_postfilterflagstat																												858775	858775							
P187S6aM4-S69-L001_rmdup																														0.14960375222383956	0.08015927977839335	0.13740959894806049	0.07427472911569381	25.203312444413857	63.0	68.60533985822822
P187S6aM4-S69-L002																		41.919377	40.190359	0.968027																
P187S6aM4-S69-L002_1																					98.64016505926777	4745458	79.37566487952645	48.0	91.0	18.181818181818183	2405439.0									
P187S6aM4-S69-L002_2																							78.70653199696056	49.0	91.0	18.181818181818183	2405439.0									
P187S6aM4-S69-L002_flagstat																												2145206	899257							
P187S6aM4-S69-L002_postfilterflagstat																												862166	862166							
P187S6aM4-S69-L002_rmdup																														0.14878166854929806	0.07957880200241671	0.1411706837186424	0.07462425725270884	25.116503317994983	63.0	68.56063218390288
P187S6aM5-S112-L001																		2.542007	2.398011	0.184877																
P187S6aM5-S112-L001_1																					98.78317625350022	1253762	30.534186339379147	56.0	91.0	9.090909090909092	634603.0									
P187S6aM5-S112-L001_2																							30.486534017883187	57.0	91.0	18.181818181818183	634603.0									
P187S6aM5-S112-L001_flagstat																												396537	10080							
P187S6aM5-S112-L001_postfilterflagstat																												9509	9509							
P187S6aM5-S112-L001_rmdup																														0.13125695216907676	0.0855222968845449	0.14374295377677565	0.07334963325183375	24.65381990526679	61.0	66.75418227215853
P187S6aM5-S112-L002																		2.557871	2.412245	0.193994																
P187S6aM5-S112-L002_1																					98.84198050086026	1292606	30.93814820996033	56.0	91.0	9.090909090909092	653875.0									
P187S6aM5-S112-L002_2																							31.19896609974711	57.0	91.0	18.181818181818183	653875.0									
P187S6aM5-S112-L002_flagstat																												408582	10451							
P187S6aM5-S112-L002_postfilterflagstat																												9856	9856							
P187S6aM5-S112-L002_rmdup																														0.12641083521444696	0.08062575210589651	0.14647577092511013	0.07824540604623592	24.620276357177303	61.0	66.91674792783984
P187S6bM4-S70-L001																		35.964832	34.535948	0.964504																
P187S6bM4-S70-L001_1																					98.35059892193628	4645742	72.62657309664385	51.0	91.0	27.27272727272727	2361827.0									
P187S6bM4-S70-L001_2																							71.21713065138454	50.0	91.0	27.27272727272727	2361827.0									
P187S6bM4-S70-L001_flagstat																												1932207	694915							
P187S6bM4-S70-L001_postfilterflagstat																												667306	667306							
P187S6bM4-S70-L001_rmdup																														0.14192708333333334	0.07278742762613731	0.129512467435802	0.07173425718361524	25.493460569798607	62.0	68.38333124660436
P187S6bM4-S70-L002																		36.047028	34.606224	0.964582																
P187S6bM4-S70-L002_1																					98.34039352911229	4662914	73.00172247351964	51.0	91.0	27.27272727272727	2370803.0									
P187S6bM4-S70-L002_2																							71.62944874763085	50.0	91.0	27.27272727272727	2370803.0									
P187S6bM4-S70-L002_flagstat																												1938501	698772							
P187S6bM4-S70-L002_postfilterflagstat																												670842	670842							
P187S6bM4-S70-L002_rmdup																														0.13846153846153847	0.07073623427510826	0.13054781801299908	0.07240187105958917	25.51235502439411	62.0	68.42610468502937
P187S6bM5-S113-L001																		0.390232	0.364518	0.079686																
P187S6bM5-S113-L001_1																					98.63174645077193	3482180	40.25318552442074	58.0	91.0	9.090909090909092	1765243.0									
P187S6bM5-S113-L001_2																							40.23793778848932	56.0	91.0	18.181818181818183	1765243.0									
P187S6bM5-S113-L001_flagstat																												840013	3278							
P187S6bM5-S113-L001_postfilterflagstat																												3062	3062							
P187S6bM5-S113-L001_rmdup																														0.14691943127962084	0.08261617900172118	0.14523449319213314	0.08018867924528301	25.166277840960415	62.0	67.75049309664755
P187S6bM5-S113-L002																		0.388932	0.358044	0.082068																
P187S6bM5-S113-L002_1																					98.70126218548735	3580562	40.676906430723925	58.0	91.0	9.090909090909092	1813838.0									
P187S6bM5-S113-L002_2																							40.91116550189759	56.0	91.0	18.181818181818183	1813838.0									
P187S6bM5-S113-L002_flagstat																												864418	3362							
P187S6bM5-S113-L002_postfilterflagstat																												3095	3095							
P187S6bM5-S113-L002_rmdup																														0.152	0.07654723127035831	0.15562403697996918	0.07085346215780998	24.730068972726922	61.0	66.52795031055868
P187S6cM4-S71-L001																		41.811551	39.917262	0.967765																
P187S6cM4-S71-L001_1																					98.5242564085485	5443276	78.77379497421738	49.0	91.0	18.181818181818183	2762404.0									
P187S6cM4-S71-L001_2																							78.21789420531594	48.0	91.0	27.27272727272727	2762404.0									
P187S6cM4-S71-L001_flagstat																												2466572	1031312							
P187S6cM4-S71-L001_postfilterflagstat																												984588	984588							
P187S6cM4-S71-L001_rmdup																														0.14470903198534593	0.07531635920109774	0.14283695959310538	0.07444094251838511	24.69121141365324	61.0	67.31519430213113
P187S6cM4-S71-L002																		41.870893	39.964375	0.967977																
P187S6cM4-S71-L002_1																					98.53956652092667	5478928	79.084086572228	49.0	91.0	18.181818181818183	2780065.0									
P187S6cM4-S71-L002_2																							78.42527607740638	48.0	91.0	27.27272727272727	2780065.0									
P187S6cM4-S71-L002_flagstat																												2483637	1039921							
P187S6cM4-S71-L002_postfilterflagstat																												992570	992570							
P187S6cM4-S71-L002_rmdup																														0.1439853335213651	0.07620504973221118	0.14235476156984106	0.072686230248307	24.65012285301799	61.0	67.27614710377492
P187S6cM5-S114-L001																		2.637258	2.451504	0.127949																
P187S6cM5-S114-L001_1																					98.73241432449308	891842	25.47952960902748	56.0	91.0	9.090909090909092	451646.0									
P187S6cM5-S114-L001_2																							25.45466648342834	56.0	91.0	18.181818181818183	451646.0									
P187S6cM5-S114-L001_flagstat																												269712	7113							
P187S6cM5-S114-L001_postfilterflagstat																												6612	6612							
P187S6cM5-S114-L001_rmdup																														0.13822393822393822	0.06764960971379011	0.14036418816388468	0.06891025641025642	24.608739474861185	60.0	66.35771276595631
P187S6cM5-S114-L002																		2.565875	2.415707	0.120581																
P187S6cM5-S114-L002_1																					98.84416799763127	914698	25.8955586173105	56.0	91.0	9.090909090909092	462697.0									
P187S6cM5-S114-L002_2																							26.09848481632733	56.0	91.0	18.181818181818183	462697.0									
P187S6cM5-S114-L002_flagstat																												276358	7091							
P187S6cM5-S114-L002_postfilterflagstat																												6676	6676							
P187S6cM5-S114-L002_rmdup																														0.12757830404889228	0.07326892109500806	0.14497041420118342	0.05748987854251012	24.06865208359429	60.0	65.6684658161586
P187S6dM4-S72-L001																		42.449808	40.738961	0.971897																
P187S6dM4-S72-L001_1																					97.79967373632581	4255344	76.63560512589135	48.0	91.0	27.27272727272727	2175541.0									
P187S6dM4-S72-L001_2																							75.86282098056915	47.0	91.0	27.27272727272727	2175541.0									
P187S6dM4-S72-L001_flagstat																												1927057	818032							
P187S6dM4-S72-L001_postfilterflagstat																												785063	785063							
P187S6dM4-S72-L001_rmdup																														0.14376742333731582	0.07339046363436608	0.14426957223567394	0.07561929595827901	25.942854624767506	64.0	69.7840354568671
P187S6dM4-S72-L002																		42.591906	40.88887	0.972137																
P187S6dM4-S72-L002_1																					97.80589567834308	4279540	76.87930948680544	48.0	91.0	27.27272727272727	2187772.0									
P187S6dM4-S72-L002_2																							75.89114921109396	47.0	91.0	27.27272727272727	2187772.0									
P187S6dM4-S72-L002_flagstat																												1937246	825110							
P187S6dM4-S72-L002_postfilterflagstat																												792118	792118							
P187S6dM4-S72-L002_rmdup																														0.1417464114832536	0.07196138657305835	0.14320193081255028	0.07262448358338769	25.896092382199754	63.0	69.66976952338007
P187S6eM4-S73-L001																		40.727324	39.054753	0.987452																
P187S6eM4-S73-L001_1																					98.91598413287292	2772892	89.13175343472028	49.0	91.0	18.181818181818183	1401640.0									
P187S6eM4-S73-L001_2																							87.74283592541734	48.0	91.0	18.181818181818183	1401640.0									
P187S6eM4-S73-L001_flagstat																												1284489	523138							
P187S6eM4-S73-L001_postfilterflagstat																												501654	501654							
P187S6eM4-S73-L001_rmdup																														0.14124293785310735	0.0703883495145631	0.12389380530973451	0.07697947214076246	25.1314128266628	61.0	66.96426935410027
P187S6eM4-S73-L002																		40.929905	39.247329	0.987523																
P187S6eM4-S73-L002_1																					98.94246882722186	2786774	89.32265169230791	49.0	91.0	18.181818181818183	1408280.0									
P187S6eM4-S73-L002_2																							87.99631949679616	48.0	91.0	18.181818181818183	1408280.0									
P187S6eM4-S73-L002_flagstat																												1291056	528428							
P187S6eM4-S73-L002_postfilterflagstat																												506705	506705							
P187S6eM4-S73-L002_rmdup																														0.14255469301340862	0.06528662420382166	0.12223858615611193	0.07675438596491228	25.22498924613099	61.0	67.04893617021256
P187bM3-L001																		43.124444	41.294397	0.891886																
P187bM3-L001_1																					65.54590276913362	863583	69.79978285771803	45.0	91.0	18.181818181818183	1317524.0									
P187bM3-L001_flagstat																												1310185	565010							
P187bM3-L001_postfilterflagstat																												541033	541033							
P187bM3-L001_rmdup																														0.1249380267724343	0.0633362362441612	0.15055443923494827	0.07880061424068537	16.14927983300077	77.0	74.3450270445462
P187bM3-S498-L001																		43.859194	42.078594	0.892205																
P187bM3-S498-L001_1																					97.69264165206857	2574248	69.79978285771803	45.0	91.0	18.181818181818183	1317524.0									
P187bM3-S498-L001_2																							69.64421100936454	45.0	91.0	18.181818181818183	1317524.0									
P187bM3-S498-L001_flagstat																												1256936	551282							
P187bM3-S498-L001_postfilterflagstat																												528901	528901							
P187bM3-S498-L001_rmdup																														0.15830867466126772	0.08365529984881573	0.1509218345268932	0.07949547755372999	28.108739983373322	76.0	81.89774294342023
P187bM3-S498-L002																		43.878051	42.109784	0.892069																
P187bM3-S498-L002_1																					97.69403867308327	2568388	70.50146266278855	45.0	91.0	18.181818181818183	1314506.0									
P187bM3-S498-L002_2																							69.87783816974483	45.0	91.0	18.181818181818183	1314506.0									
P187bM3-S498-L002_flagstat																												1253939	550204							
P187bM3-S498-L002_postfilterflagstat																												528031	528031							
P187bM3-S498-L002_rmdup																														0.16168085604936344	0.08309718286381064	0.15075955194107718	0.07888879729618334	28.08316924977421	76.0	81.81522745131929
P187cM3-L001																		38.239658	36.65548	0.791906																
P187cM3-L001_1																					70.53732712038095	635329	53.35000591196547	46.0	91.0	18.181818181818183	900699.0									
P187cM3-L001_flagstat																												889736	340232							
P187cM3-L001_postfilterflagstat																												326137	326137							
P187cM3-L001_rmdup																														0.12566450088600117	0.06174688542446729	0.15224846328049174	0.08153241650294696	15.990003323744574	78.0	74.75890322295066
P187cM3-S499-L001																		38.806449	37.256882	0.793612																
P187cM3-S499-L001_1																					98.56089548228654	1775474	53.35000591196547	46.0	91.0	18.181818181818183	900699.0									
P187cM3-S499-L001_2																							53.385232135468854	46.0	91.0	27.27272727272727	900699.0									
P187cM3-S499-L001_flagstat																												863725	335181							
