Sample	total	unaligned	aligned	reads_total	retained	percent_aligned	discarded_m1	singleton_m1	discarded_m2	singleton_m2	full-length_cp	truncated_cp	aligned_total	unaligned_total	discarded_total	retained_reads
P212S6cM4-S78-L001_1	2946838	29937	2916901	5893676	2800592	98.98409753098066	185430	0	185430	0	2722224	0	5833802	59874	3093084	2800592
P212S6cM4-S78-L002_1	2966180	28789	2937391	5932360	2817684	99.02942505175007	186478	0	186478	0	2741720	0	5874782	57578	3114676	2817684
P212S6cM5-S117-L001_1	1096028	17843	1078185	2192056	497486	98.37203064155295	617120	212	617332	0	460118	0	2156370	35686	1694570	497274
P212S6cM5-S117-L002_1	1126307	17940	1108367	2252614	510145	98.40718383176167	634942	158	635100	0	472427	0	2216734	35880	1742469	509987
P212S6dM4-S79-L001_1	4124664	33657	4091007	8249328	3855871	99.18400626087362	313617	0	313617	0	3766223	0	8182014	67314	4393457	3855871
P212S6dM4-S79-L002_1	4145177	32197	4112980	8290354	3873690	99.22326597875073	314983	1	314984	0	3786697	0	8225960	64394	4416664	3873689
P212S6eM4-S80-L001_1	3622135	22831	3599304	7244270	3323542	99.36968114109496	324472	0	324472	0	3271784	0	7198608	45662	3920728	3323542
P212S6eM4-S80-L002_1	3709181	22353	3686828	7418362	3404709	99.39736022588275	330011	0	330011	0	3353631	0	7373656	44706	4013653	3404709
P212aM3-S500-L001_1	1255289	25016	1230273	2510578	1278687	98.00715213787423	14346	0	14346	0	1203199	0	2460546	50032	1231891	1278687
P212aM3-S500-L002_1	1254144	24935	1229209	2508288	1277721	98.01179130945091	14188	0	14188	0	1202191	0	2458418	49870	1230567	1277721
P212aM3-S74-L001_1	843	9	834	1686	805	98.932384341637	49	0	49	0	783	0	1668	18	881	805
P212aM3-S74-L002_1	912	6	906	1824	868	99.34210526315789	54	0	54	0	848	0	1812	12	956	868
P212bM3-S501-L001_1	1267497	21783	1245714	2534994	1283006	98.28141605068888	16451	0	16451	0	1219086	0	2491428	43566	1251988	1283006
P212bM3-S501-L002_1	1264986	21818	1243168	2529972	1280227	98.27523782871906	16799	0	16799	0	1216147	0	2486336	43636	1249745	1280227
P212bM3-S75-L001_1	479	5	474	958	434	98.95615866388309	54	0	54	0	416	0	948	10	524	434
P212bM3-S75-L002_1	454	4	450	908	407	99.11894273127753	51	0	51	0	399	0	900	8	501	407
P212cM3-S502-L001_1	1602479	48190	1554289	3204958	1657026	96.99278430481772	15844	0	15844	0	1516244	0	3108578	96380	1547932	1657026
P212cM3-S502-L002_1	1590611	47347	1543264	3181222	1644462	97.02334511706508	15724	0	15724	0	1505312	0	3086528	94694	1536760	1644462
P246M2-S273-L001_1	842889	48870	794019	1685778	907875	94.20208354836758	6849	2	6851	0	764203	0	1588038	97740	777903	907873
P246M2-S273-L002_1	847246	48827	798419	1694492	912604	94.23697485736137	6782	0	6782	0	768324	0	1596838	97654	781888	912604
P246S6aM4-S84-L001_1	2554741	64489	2490252	5109482	2430417	97.47571280219795	215132	0	215132	0	2248801	0	4980504	128978	2679065	2430417
P246S6aM4-S84-L002_1	2570151	64984	2505167	5140302	2444942	97.47158824520427	217041	0	217041	0	2261278	0	5010334	129968	2695360	2444942
P246S6aM5-S121-L001_1	774566	10287	764279	1549132	593628	98.67190142608894	194157	86	194243	0	567104	0	1528558	20574	955504	593542
P246S6aM5-S121-L002_1	798138	10350	787788	1596276	610689	98.7032317719492	200847	85	200932	0	583808	0	1575576	20700	985587	610604
P246S6bM4-S85-L001_1	2239436	47622	2191814	4478872	2118744	97.87348243039766	189284	1	189285	0	1981559	0	4383628	95244	2360128	2118743
P246S6bM4-S85-L002_1	2245151	46848	2198303	4490302	2122026	97.91336974662283	191233	0	191233	0	1985810	0	4396606	93696	2368276	2122026
P246S6bM5-S122-L001_1	570773	6812	563961	1141546	426316	98.80653079245164	153267	56	153323	0	408640	0	1127922	13624	715230	426260
P246S6bM5-S122-L002_1	584863	6655	578208	1169726	435480	98.86212668607862	157994	54	158048	0	418204	0	1156416	13310	734246	435426
P246S6cM4-S86-L001_1	2112459	19106	2093353	4224918	1671893	99.09555641079898	465738	0	465738	0	1621549	0	4186706	38212	2553025	1671893
P246S6cM4-S86-L002_1	2126306	18720	2107586	4252612	1682271	99.11959990706887	468803	0	468803	0	1632735	0	4215172	37440	2570341	1682271
P246S6cM5-S123-L001_1	1023163	10525	1012638	2046326	707188	98.9713271492421	328810	130	328940	0	681388	0	2025276	21050	1339138	707058
P246S6cM5-S123-L002_1	1051505	10328	1041177	2103010	725096	99.01778878845084	339203	122	339325	0	699386	0	2082354	20656	1377914	724974
P384M2-S279-L001_1	473344	11973	461371	946688	482059	97.47054995943753	8434	1	8435	0	447760	0	922742	23946	464629	482058
P384M2-S279-L002_1	472652	11758	460894	945304	481219	97.51233465636452	8296	0	8296	0	447493	0	921788	23516	464085	481219
P384S6aM4-S98-L001_1	1226450	20924	1205526	2452900	1136153	98.29393778792449	119866	0	119866	0	1077015	0	2411052	41848	1316747	1136153
P384S6aM4-S98-L002_1	1231772	20811	1210961	2463544	1141059	98.31048278415162	119969	0	119969	0	1082547	0	2421922	41622	1322485	1141059
P384S6aM5-S133-L001_1	1088162	10486	1077676	2176324	670150	99.03635671894442	429777	112	429889	0	646508	0	2155352	20972	1506174	670038
P384S6aM5-S133-L002_1	1115937	10239	1105698	2231874	685487	99.08247508595916	442095	86	442181	0	662111	0	2211396	20478	1546387	685401
P384S6bM4-S99-L001_1	2865794	42207	2823587	5731588	2604343	98.52721444737479	318960	1	318961	0	2489324	0	5647174	84414	3127245	2604342
P384S6bM4-S99-L002_1	2933740	43238	2890502	5867480	2668470	98.52618159755124	324161	0	324161	0	2550688	0	5781004	86476	3199010	2668470
P384S6bM5-S134-L001_1	2057632	20731	2036901	4115264	1467998	98.99248262079905	613979	235	614214	0	1419073	0	4073802	41462	2647266	1467763
P384S6bM5-S134-L002_1	2133973	20651	2113322	4267946	1523020	99.03227454143047	635414	218	635632	0	1473880	0	4226644	41302	2744926	1522802
P384S6cM4-S100-L001_1	2441189	27821	2413368	4882378	2199347	98.86035042759902	277714	0	277714	0	2127603	0	4826736	55642	2683031	2199347
P384S6cM4-S100-L002_1	2453113	27239	2425874	4906226	2209168	98.88961495047313	279490	0	279490	0	2138078	0	4851748	54478	2697058	2209168
P384S6cM5-S135-L001_1	731040	8952	722088	1462080	532914	98.77544320420223	208815	100	208915	0	511436	0	1444176	17904	929166	532814
P384S6cM5-S135-L002_1	749511	8534	740977	1499022	546122	98.8613909602394	213814	100	213914	0	525172	0	1481954	17068	952900	546022
P384aM3-S506-L001_1	1124462	43445	1081017	2248924	1160458	96.136374550674	26540	0	26540	0	1035386	0	2162034	86890	1088466	1160458
P384aM3-S506-L002_1	1121273	43767	1077506	2242546	1156890	96.09666869709696	26932	0	26932	0	1031792	0	2155012	87534	1085656	1156890
P384bM3-S507-L001_1	895405	27482	867923	1790810	922569	96.9307743423367	13745	0	13745	0	840751	0	1735846	54964	868241	922569
P384bM3-S507-L002_1	895358	27342	868016	1790716	922356	96.94624943318762	13535	0	13535	0	841290	0	1736032	54684	868360	922356
P384cM3-S508-L001_1	676095	23133	652962	1352190	699898	96.57843942049564	9821	0	9821	0	632650	0	1305924	46266	652292	699898
P384cM3-S508-L002_1	675097	23134	651963	1350194	698976	96.57323317982453	9695	0	9695	0	631828	0	1303926	46268	651218	698976
P387M2-S280-L001_1	2321952	66381	2255571	4643904	2390183	97.14115537272089	30859	3	30862	0	2192000	0	4511142	132762	2253721	2390180
P387M2-S280-L002_1	2352257	66806	2285451	4704514	2422042	97.15991917549826	30187	0	30187	0	2222098	0	4570902	133612	2282472	2422042
P387S6aM4-S101-L001_1	2771837	34537	2737300	5543674	2574998	98.75400321158855	243355	0	243355	0	2481966	0	5474600	69074	2968676	2574998
P387S6aM4-S101-L002_1	2777942	33788	2744154	5555884	2579282	98.783703907425	244341	0	244341	0	2487920	0	5488308	67576	2976602	2579282
P387S6aM5-S136-L001_1	368217	4382	363835	736434	250668	98.80994087725445	122696	50	122746	0	240324	0	727670	8764	485766	250618
P387S6aM5-S136-L002_1	379713	4176	375537	759426	258067	98.90022200978107	126593	36	126629	0	248137	0	751074	8352	501359	258031
P387S6bM4-S102-L001_1	2286189	29865	2256324	4572378	2124502	98.69367755684242	201805	0	201805	0	2044266	0	4512648	59730	2447876	2124502
P387S6bM4-S102-L002_1	2295868	29523	2266345	4591736	2132969	98.71408112313077	202767	0	202767	0	2053233	0	4532690	59046	2458767	2132969
P387S6bM5-S137-L001_1	953392	10506	942886	1906784	592918	98.8980398409049	372240	136	372376	0	569250	0	1885772	21012	1313866	592782
P387S6bM5-S137-L002_1	981427	10215	971212	1962854	608770	98.95916863913465	384174	128	384302	0	585608	0	1942424	20430	1354084	608642
P387S6cM4-S103-L001_1	1758458	22437	1736021	3516916	1675903	98.72405255058693	113507	0	113507	0	1613999	0	3472042	44874	1841013	1675903
P387S6cM4-S103-L002_1	1768445	22349	1746096	3536890	1685367	98.7362343753976	113736	0	113736	0	1624051	0	3492192	44698	1851523	1685367
P387S6cM5-S138-L001_1	573881	6163	567718	1147762	394246	98.92608397908278	187064	43	187107	0	379345	0	1135436	12326	753516	394203
P387S6cM5-S138-L002_1	590190	5957	584233	1180380	404150	98.99066402345008	193319	44	193363	0	389548	0	1168466	11914	776230	404106
P387S6dM4-S104-L001_1	2509323	30138	2479185	5018646	2285172	98.79895892238663	263744	0	263744	0	2205986	0	4958370	60276	2733474	2285172
P387S6dM4-S104-L002_1	2519905	29283	2490622	5039810	2293609	98.83793238237156	265216	0	265216	0	2215769	0	4981244	58566	2746201	2293609
P387S6eM4-S105-L001_1	2357142	24883	2332259	4714284	2182186	98.94435719188746	208409	0	208409	0	2115280	0	4664518	49766	2532098	2182186
P387S6eM4-S105-L002_1	2374693	24449	2350244	4749386	2198364	98.97043533627294	209487	0	209487	0	2132048	0	4700488	48898	2551022	2198364
P387aM3-S509-L001_1	986665	21453	965212	1973330	997564	97.82570578666518	22348	0	22348	0	931070	0	1930424	42906	975766	997564
P387aM3-S509-L002_1	986976	21261	965715	1973952	997282	97.84584427584865	22606	0	22606	0	931458	0	1931430	42522	976670	997282
P387bM3-S510-L001_1	1012603	39342	973261	2025206	1063277	96.1147656090294	8599	1	8600	0	944730	0	1946522	78684	961929	1063276
P387bM3-S510-L002_1	1011598	39296	972302	2023196	1061782	96.11545297637994	8610	0	8610	0	944194	0	1944604	78592	961414	1061782
P387cM3-S511-L001_1	1233940	40968	1192972	2467880	1272695	96.67990339886866	22974	0	22974	0	1149237	0	2385944	81936	1195185	1272695
P387cM3-S511-L002_1	1232390	40632	1191758	2464780	1270718	96.70299174774219	22961	0	22961	0	1148140	0	2383516	81264	1194062	1270718
R21E1S1S2-S58-L001_1	13920068	127763	13792305	27840136	12379714	99.08216683998957	1713043	0	1713043	0	12034336	0	27584610	255526	15460422	12379714
R21E1S1S2-S58-L002_1	13792557	124813	13667744	27585114	12250686	99.09506989893173	1710999	1	1711000	0	11912429	0	27335488	249626	15334428	12250685
R36E1S1S2-S59-L001_1	14953656	122481	14831175	29907312	13425660	99.18092939947262	1686492	0	1686492	0	13108668	0	29662350	244962	16481652	13425660
R36E1S1S2-S59-L002_1	14854231	119506	14734725	29708462	13321308	99.19547501314608	1687694	0	1687694	0	13011766	0	29469450	239012	16387154	13321308
R44E1S1S2-S62-L001_1	8907980	263153	8644827	17815960	8444921	97.04587347524354	839510	0	839510	0	7692019	0	17289654	526306	9371039	8444921
R44E1S1S2-S62-L002_1	8849452	260154	8589298	17698904	8380169	97.06022474611987	840895	0	840895	0	7636945	0	17178596	520308	9318735	8380169
