Sample	Top over-represented sequence	Sum of remaining over-represented sequences
P387S6dM4-S104-L001_1	0.20786483047419563	0.28414038368117617
P387S6dM4-S104-L001_2	0.20304281274271985	0.738326632322742
P387S6dM4-S104-L002_1	0.20738877060841582	0.39092743575650674
P387S6dM4-S104-L002_2	0.19897575503838438	0.7381627481988409
P387S6eM4-S105-L001_1	0.1704182437884523	0.9206488196298737
P387S6eM4-S105-L001_2	0.2164485635570534	0.7213820805025748
P387S6eM4-S105-L002_1	0.181791920050297	0.9248353366098271
P387S6eM4-S105-L002_2	0.21093252896269118	0.7271676802011882
P387aM3-S509-L001_1	0.0	0.0
P387aM3-S509-L001_2	0.1206083118383646	0.21567603999331078
P387aM3-S509-L002_1	0.0	0.0
P387aM3-S509-L002_2	0.11580828713160199	0.2102381415556204
P387bM3-S510-L001_1	0.0	0.0
P387bM3-S510-L001_2	0.1292708001062608	0.0
P387bM3-S510-L002_1	0.0	0.0
P387bM3-S510-L002_2	0.13503387709346992	0.0
P387cM3-S511-L001_1	0.0	0.0
P387cM3-S511-L001_2	0.15438351945799633	0.0
P387cM3-S511-L002_1	0.0	0.0
P387cM3-S511-L002_2	0.14865424094645366	0.0
R21E1S1S2-S58-L001_1	0.0	0.0
R21E1S1S2-S58-L001_2	0.0	0.0
R21E1S1S2-S58-L002_1	0.0	0.0
R21E1S1S2-S58-L002_2	0.0	0.0
R36E1S1S2-S59-L001_1	0.0	0.0
R36E1S1S2-S59-L001_2	0.0	0.0
R36E1S1S2-S59-L002_1	0.0	0.0
R36E1S1S2-S59-L002_2	0.0	0.0
R44E1S1S2-S62-L001_1	0.0	0.0
R44E1S1S2-S62-L001_2	0.0	0.0
R44E1S1S2-S62-L002_1	0.0	0.0
R44E1S1S2-S62-L002_2	0.0	0.0
