# BEAST v1.10.4
# Generated Wed Jun 16 16:24:26 EDT 2021 [seed=543545]
# -seed 543545 -threads 10 -beagle_SSE -beagle_double beast_strict_clock.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	gtr.rates.rateAC	gtr.rates.rateAG	gtr.rates.rateAT	gtr.rates.rateCG	gtr.rates.rateCT	gtr.rates.rateGT	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
58360000	-5948956.564384119	-532.2601788539703	-5948424.304205265	21396.793187427567	21143.293187427567	144165.39416827078	21774.59761482702	0.7635919425276502	1.7285899024393585	0.4423749929519002	0.3149924921859956	1.7045045137116188	1.0459461561834533	0.26257473088198574	0.23626750826712287	0.2392243880788093	0.2619333727720875	6.785036385923364E-10	6.785036385923367E-10	-5948424.304205265	0.0	-534.0228350508085
58370000	-5948914.724380508	-496.37978232709327	-5948418.344598181	9558.76109562272	9305.26109562272	68308.2520735394	12623.224916860641	0.693672933724635	1.8451217225417664	0.48102610704971827	0.26831006554429326	1.8484087179900015	0.863460453149562	0.26256538474378366	0.23611855964849715	0.23911253039968772	0.26220352520803697	1.515495408904609E-9	1.5154954089046082E-9	-5948418.344598181	0.0	-497.91236927058014
58380000	-5948920.110981133	-504.12758667483575	-5948415.983394458	12056.199863422127	11802.699863422127	83042.93540257681	11793.237424444193	0.6935766030100085	1.626893615284379	0.4037156214275818	0.2992866900262141	1.8062439576748348	1.1702835125769584	0.26268671625957574	0.23642743802411856	0.2388732037832552	0.26201264193305607	1.199055637858594E-9	1.1990556378585944E-9	-5948415.983394458	0.0	-505.94295731180785
58390000	-5948927.795447068	-505.8151727804194	-5948421.980274288	9664.431982183063	9410.931982183063	77748.17402101721	11532.509225888996	0.7541421381876571	1.482977456504763	0.36015146496557926	0.30766372944494125	1.924965102444219	1.1701001084528166	0.2628773895909552	0.23672582047472876	0.23913804518247467	0.26125874475184685	1.1465373157374352E-9	1.1465373157374356E-9	-5948421.980274288	0.0	-507.6423627832724
58400000	-5948948.980788434	-517.3820036372484	-5948431.598784797	15308.233261437374	15054.733261437374	107475.11457662068	17924.010449226294	0.6603999422803185	1.687216842848277	0.42731648978035597	0.36714292774642515	1.8764779760206096	0.9814458213239899	0.26301765442360353	0.23593701503004977	0.23943644675771603	0.2616088837886362	9.106886747965189E-10	9.10688674796519E-10	-5948431.598784797	0.0	-519.0452560681791
58410000	-5948941.702706339	-523.1580301516623	-5948418.544676187	18441.24587966622	18187.74587966622	123585.95843447669	20495.376401858295	0.7011488829071657	1.6545697322903123	0.46462789578360447	0.34419008128400846	1.9087396438373576	0.9267237638975275	0.26287101429426213	0.23617726617575352	0.23921314396177046	0.26173857556821933	7.695507692637258E-10	7.69550769263726E-10	-5948418.544676187	0.0	-524.841263101829
58420000	-5948959.07767683	-534.1396860615545	-5948424.937990768	19950.116254636894	19696.616254636894	138489.19775282033	27381.237745418337	0.9911869387048939	1.596008885254995	0.5593910241189087	0.36818646555497536	1.583897230067445	0.901329456298758	0.2627712618969367	0.23634284656369922	0.2389444985820256	0.2619413929573439	6.96532001980645E-10	6.965320019806451E-10	-5948424.937990768	0.0	-535.6400332412345
58430000	-5948936.663438314	-512.7727054002054	-5948423.890732913	13641.94213450163	13388.44213450163	93626.99357728292	14430.361919010755	0.618642327585058	1.7805331670360505	0.5325946765761217	0.34797924033240135	1.745338050766687	0.9749125377036574	0.2623677873517333	0.2365477928123096	0.2391333074197827	0.26195111241617997	1.0065231584000765E-9	1.006523158400077E-9	-5948423.890732913	0.0	-514.5337698219291
58440000	-5948924.488602727	-501.34071567901367	-5948423.147887047	12000.307691090962	11746.807691090962	78026.15430621975	15937.678019446996	0.7588044987889885	1.7232607386637817	0.364376047066022	0.33609383595820275	1.8779540624597248	0.9395108170632558	0.2626522344942238	0.23647401298902138	0.2388908793638273	0.261982873152933	1.2705490051468187E-9	1.27054900514682E-9	-5948423.147887047	0.0	-502.79481277688916
58450000	-5948897.383658716	-476.1980573161896	-5948421.1856014	7322.298589447929	7068.798589447929	49348.08184803743	8020.407990776274	0.743110871675473	1.7723043754314092	0.4098512554070854	0.294750673876097	1.7591513569484296	1.0208314666614813	0.26254414524232883	0.23631137595704185	0.23908177240560916	0.26206270639502555	2.247664634820609E-9	2.2476646348206107E-9	-5948421.1856014	0.0	-477.8245454187149
58460000	-5948920.867939822	-485.8206050639864	-5948435.047334759	7683.078049484352	7429.578049484352	53603.458081384284	9224.164561657237	0.7612815686396883	1.6522348937267566	0.396406692526607	0.2800328552317738	1.7808707652111349	1.1291732246640145	0.2628949599515235	0.23644088274791886	0.2388893403081568	0.2617748169924063	1.7941425453756325E-9	1.7941425453756329E-9	-5948435.047334759	0.0	-487.4613101838218
58470000	-5948879.4832655685	-456.561024034802	-5948422.922241534	5578.547705491941	5325.047705491941	35567.40610445485	4988.886100000089	0.69941913493049	1.7566972782999721	0.3569048877806115	0.2786212973293216	1.902832415688755	1.0055249859708246	0.26270605718554535	0.23630123465826602	0.2389576239735966	0.2620350841825974	2.5692047271977155E-9	2.569204727197716E-9	-5948422.922241534	0.0	-458.43172135596456
58480000	-5948877.6478622835	-448.99537540789856	-5948428.652486876	4271.030820999519	4017.530820999519	29817.99417747541	4766.571854372453	0.7146403202089263	1.6988924979263376	0.38819679553600767	0.2427973635451137	2.042093212093265	0.9133798106903245	0.2622289167042505	0.2367265761686644	0.23921074814128251	0.26183375898580796	3.488655641317726E-9	3.4886556413177263E-9	-5948428.652486876	0.0	-450.6705265502425
58490000	-5948882.60231108	-455.5641121737484	-5948427.038198907	4791.112558925839	4537.612558925839	33369.42801934546	4496.555672729155	0.6835749479857113	1.6187597707408563	0.41402914838609284	0.1883234166814305	1.9086595080844897	1.186653208121395	0.2626451947808331	0.23641049119731897	0.23902523708959456	0.2619190769322588	2.782575897576542E-9	2.7825758975765424E-9	-5948427.038198907	0.0	-457.4669238917579
58500000	-5948907.5870149825	-482.8104821122741	-5948424.77653287	7035.094151270798	6781.594151270798	50047.13119882425	8691.675197531245	0.5624140964470759	1.8160955559626906	0.5237735348037915	0.36409424020909237	1.8081869130287211	0.9254356595486037	0.2626974297363837	0.23663873860114687	0.23874687831390448	0.26191695334857035	1.9407379768457942E-9	1.940737976845794E-9	-5948424.77653287	0.0	-484.4370524651762
58510000	-5948904.766838076	-477.98094338184654	-5948426.785894694	6448.799639241864	6195.299639241864	47508.4623637293	6387.07599275873	0.6607034432261705	1.5545007378332492	0.5198857382822422	0.32907167308975277	1.9360383559424579	0.9998000516261021	0.26312001769066223	0.236259113721948	0.23865405036673398	0.2619668182206612	2.1011505817347074E-9	2.1011505817347078E-9	-5948426.785894694	0.0	-479.84986309946044
58520000	-5948917.592082837	-490.2717035120853	-5948427.320379324	9836.355095937502	9582.855095937502	65628.45486257847	11758.231298399443	0.5401926714861495	1.7758756095314263	0.39600546222502725	0.30742855440978234	1.9017505370972534	1.0787471652503358	0.26283470654743873	0.23636445471497414	0.23915159167564023	0.2616492470619523	1.4289367266650025E-9	1.4289367266650019E-9	-5948427.320379324	0.0	-491.8846803072495
58530000	-5948922.717937175	-501.4729967619435	-5948421.244940413	10215.130747481566	9961.630747481566	71872.2810742193	13922.752273957307	0.5792124691221137	1.9704838388988963	0.42960254094277955	0.4190264577365913	1.728308460509084	0.8733662327905097	0.2623931266847575	0.2366087705486857	0.239068084146987	0.26193001861957516	1.3795322467383067E-9	1.3795322467383063E-9	-5948421.244940413	0.0	-502.98003107838946
